"Root","Početak"
"Customizable Options","Prilagodljive opcije"
"Custom options let customers choose the product variations they want.","Prilagođavanje opcija omogućava korisniku da izabere različite vrednosti koje on želi."
"Add Option","Dodati opciju"
"New Option","Nova opcija"
"Select Product","Izabrati proizvod"
"Option Title","Naziv opcije"
"Add Value","Dodati vrednost"
"Title","Naslov"
"Option Type","Tip opcije"
"Required","Obavezno"
"Price Type","Vrstu cena"
"Max Characters","Maximalno znakova"
"Compatible File Extensions","Kompatibilni tipovi datoteka"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Maksimalna veličina slike"
"Please leave blank if it is not an image.","Molimo ostaviti prazno ako to nije kao slika."
"%1","%1"
"This item has weight","Ovaj artikal ima težinu"
"This item has no weight","Ovaj artikal nema težinu"
"Set Product as New From","Postavi proizvod kao novo iz"
"Related Products, Up-Sells, and Cross-Sells","Srodni proizvodi, Up-prodaja i Cross-prodaja"
"Related products are shown to customers in addition to the item the customer is looking at.","Srodni proizvodi su prikazani kupcima pored stavke koju kupac gleda."
"Add Related Products","Dodaj srodne proizvode"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Up-prodaja artikal je ponuđen artikal kupcu kao zamena bolja cena ili bolji kvalitet proizvoda od onog koji kupac gleda."
"Add Up-Sell Products","Dodaj Up-prodaju proizvoda"
"Up-Sell Products","Up-prodaja proizvoda"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Ova ""impulsivna-prodaja"" proizvoda se pojavljuje pored korpe kupca kao ukrštena prodaja sa artiklima koji su već u korpi kupca."
"Add Cross-Sell Products","Dodak ukrštenu-prodaju proizvoda"
"Cross-Sell Products","Ukrštena-prodaja proizvoda"
"Add Selected Products","Dodati izabrane proizvode"
"Remove","Ukloni"
"Thumbnail","Sličice"
"Actions","Radnje"
"Schedule Update From","Ažuriranje rasporeda iz"
"Product in Websites","Proizvod u Web lokaciji"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Ako vaša Magento instalacija ima više Web lokacija, možete urediti opseg da koristite proizvod na određenim web lokacijama."
"name","naziv"
"Copy Data from","Kopiranje podataka iz"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Ako ne postoje prilagođene nadređene kategorije, molimo koristite podrazumevane nadređene kategorije. Možete je u bilo kom trenutku ponovo dodeliti u <a href=""%1"" target=""_blank"">Proizvodi &gt; Kategorije</a>."
"This operation can take a long time","Ova operacija može potrajati dugo vremena"
"Collapse All","Skupi sve"
"Expand All","Razvij sve"
"Please confirm site switching. All data that hasn't been saved will be lost.","Please confirm site switching. All data that hasn't been saved will be lost."
"Use Default Value","Koristite podrazumevane vrednosti"
"Manage Titles (Size, Color, etc.)","Upravljanje naslovima (Veličina, boja, itd.)"
"Manage Options (Values of Your Attribute)","Upravljanje opcijama (vrednosti vaših atributa)"
"Is Default","Je podrazumevano"
"Sort Option","Opciju sortiranja"
"Groups","Grupe"
"Double click on a group to rename it.","Dvaput kliknite na grupu da biste je preimenovali."
"Unassigned Attributes","Nedodeljeni atribute"
"A name is required.","Ime je obavezno."
"This group contains system attributes. Please move system attributes to another group and try again.","This group contains system attributes. Please move system attributes to another group and try again."
"Please select a node.","Please select a node."
"Please enter a new group name.","Unesite ime nove grupe."
"An attribute group named ""/name/"" already exists.","Jedan atribut grupa pod nazivom „/ ime /” već postoji."
"Sorry, we're unable to complete this request.","Sorry, we're unable to complete this request."
"You can't remove attributes from this attribute set.","You can't remove attributes from this attribute set."
"Custom Options","Prilagodljive opcije"
"This is a required option.","Ovo polje je neophodno."
"The field isn't complete.","The field isn't complete."
"Compatible file extensions to upload","Compatible file extensions to upload"
"Maximum image width","Maximum image width"
"Maximum image height","Maximum image height"
"Maximum number of characters:","Maximum number of characters:"
"start typing to search template","start typing to search template"
"Product online","Product online"
"Product offline","Product offline"
"Product online status","Product online status"
"Manage Stock","Manage Stock"
"Qty","Kol"
"Out-of-Stock Threshold","Out-of-Stock Threshold"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Qty Uses Decimals","Qty Uses Decimals"
"Backorders","Backorders"
"Notify for Quantity Below","Notify for Quantity Below"
"Enable Qty Increments","Enable Qty Increments"
"Qty Increments","Qty Increments"
"Stock Availability","Stock Availability"
"In Stock","In Stock"
"Out of Stock","Out of Stock"
"Add Product To Websites","Add Product To Websites"
"Remove Product From Websites","Remove Product From Websites"
"To hide an item in catalog or search results, set the status to ""Disabled"".","To hide an item in catalog or search results, set the status to ""Disabled""."
"We can't save custom-defined options for bundles with dynamic pricing.","Mi ne možemo da sačuvamo korisnički prilagođene opcije za pakete sa dinamičkim cenama."
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Input Type","Vrsta unosa"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Sort Custom Option"
"Item Price","Item Price"
"Action","Akcija"
"and above","and above"
"Delete Tier","Delete Tier"
"Product In Websites","Product In Websites"
"(Copy data from: %1)","(Copy data from: %1)"
"Browse to find or drag image here","Browse to find or drag image here"
"Delete image","Delete image"
"Hidden","Hidden"
"Alt Text","Alt Text"
"Role","Role"
"Image Size","Image Size"
"{size}","{size}"
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Sakriti od proizvodne stranice"
"Allow Multiple Boxes for Shipping","Dopustiti pakovanje u više kutija radi isporuke"
"start typing to search attribute","počnite da kucate za pretragu atributa"
"Basic Settings","Osnovna podešavanja"
"Advanced Settings","Napredna podešavanja"
"Changes have been made to this section that have not been saved.","Promene koje su napravljene u ovoj sekciji nisu sačuvane."
"This tab contains invalid data. Please resolve this before saving.","Ova kartica sadrži nevažeće podatke. Molim vas rešite ovo pre snimanja."
"Mass Actions","Masovne radnje"
"Select All","Izaberi sve"
"Unselect All","Poništi izabrane"
"Select Visible","Izaberi vidljive"
"Unselect Visible","Poništi izabrane vidljive"
"Special Price","Posebna cena"
"Regular Price","Redovna cena"
"Buy %1 for: ","Kupiti %1 za: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Kupiti %1 za %2 svaki i <strong class=""benefit"">sačuvati<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Kupiti %1 za %2 svaki"
"Shop By","Kupiti po"
"Shopping Options","Opcije kupovine"
"Compare Products","Poređenje proizvoda"
"Print This Page","Štampaj ovu stranu"
"Remove Product","Ukloni proizvod"
"Add to Cart","Dodaj u korpu"
"In stock","Na stanju"
"Out of stock","Nema na lageru"
"Add to Wish List","Dodaj u listu želja"
"You have no items to compare.","Nemate artikle za poređenje."
"Remove This Item","Ukloni ovu stavku"
"Compare","Poredi"
"Clear All","Očisti sve"
"Prev","Prethodno"
"Next","Sledeće"
"We can't find products matching the selection.","Ne možemo pronaći proizvode koji zadovoljavaju traženo."
"Learn More","Saznajte više"
"Add to Compare","Dodaj za upoređivanje"
"We found other products you might like!","Pronašli smo ove proizvode koje možda više volite!"
"More Choices:","Više izbora:"
"Check items to add to the cart or","Proveriti artikle za dodavanje u korpu ili"
"select all","izaberi sve"
"Items %1-%2 of %3","Stavke %1-%2 od %3"
"%1 Item","%1 stavka"
"%1 Items","%1 stavke"
"Show","Prikaži"
"per page","po stranici"
"Sort By","Poređaj po"
"Set Ascending Direction","Postavi rastući smer"
"Set Descending Direction","Postavi opadajući smer"
"View as","Pregledi kao"
"More Information","Više informacija"
"Loading...","Loading..."
"* Required Fields","* Obavezna polja"
"Availability","Dostupnost"
"Warning message","Warning message"
"Submit","Submit"
"We don't recognize or support this file extension type.","Ne možemo prepoznati ili pružiti podršku za ovaj tip datoteke."
"Configure Product","Configure Product"
"OK","OK"
"This value does not follow the specified format (for example, 200x300).","This value does not follow the specified format (for example, 200x300)."
"Select type of option.","Select type of option."
"Please add rows to option.","Please add rows to option."
"Please select items.","Please select items."
"Choose existing category.","Izabrati odgovarajuću kategoriju."
"Image Detail","Image Detail"
"Adding...","Adding..."
"Added","Added"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","poništi izabrane"
"Inventory","Inventory"
"Catalog Section","Catalog Section"
"Small","Small"
"Main","Main"
"Custom image","Custom image"
"Product Fields Auto-Generation","Product Fields Auto-Generation"
"Mask for SKU","Mask for SKU"
"Use {{name}} as Product Name placeholder","Use {{name}} as Product Name placeholder"
"Mask for Meta Title","Mask for Meta Title"
"Mask for Meta Keywords","Mask for Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Use {{name}} as Product Name or {{sku}} as Product SKU placeholders"
"Mask for Meta Description","Mask for Meta Description"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Use {{name}} and {{description}} as Product Name and Product Description placeholders"
"Recently Viewed/Compared Products","Recently Viewed/Compared Products"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Storefront"
"List Mode","List Mode"
"Products per Page on Grid Allowed Values","Products per Page on Grid Allowed Values"
"Comma-separated.","Comma-separated."
"Products per Page on Grid Default Value","Products per Page on Grid Default Value"
"Must be in the allowed values list","Must be in the allowed values list"
"Products per Page on List Allowed Values","Products per Page on List Allowed Values"
"Products per Page on List Default Value","Products per Page on List Default Value"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Product Listing Sort by","Product Listing Sort by"
"Allow All Products per Page","Allow All Products per Page"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Whether to show ""All"" option in the ""Show X Per Page"" dropdown"
"Allow Dynamic Media URLs in Products and Categories","Allow Dynamic Media URLs in Products and Categories"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Product Image Placeholders","Product Image Placeholders"
"Search Engine Optimization","Optimizacija programa za pretraživanje"
"Page Title Separator","Page Title Separator"
"Use Canonical Link Meta Tag For Categories","Koristi Canonical Link Meta Tag za kategorije"
"Use Canonical Link Meta Tag For Products","Koristi Canonical Link Meta Tag za proizvode"
"Catalog Price Scope","Opseg kataloga cena"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Ovo definiše osnovu opsega valuta (""Podešavanje valute"" > ""Opcije valuta"" > ""Osnovne valute"")."
"Category Top Navigation","Vrh navigacija kategorija"
"Maximal Depth","Maksimalna dubina"
"Date & Time Custom Options","Opcije podešavanja datuma i vremena"
"Use JavaScript Calendar","Koristi JavaScript kalendar"
"Date Fields Order","Date Fields Order"
"Time Format","Time Format"
"Year Range","Year Range"
"Please use a four-digit year format.","Please use a four-digit year format."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Use Static URLs for Media Content in WYSIWYG for Catalog"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Top Level Category"
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Product Flat Data"
"Reorganize EAV product structure to flat structure","Reorganize EAV product structure to flat structure"
"Category Flat Data","Category Flat Data"
"Reorganize EAV category structure to flat structure","Reorganize EAV category structure to flat structure"
"Category Products","Category Products"
"Indexed category/products association","Indexed category/products association"
"Product Categories","Product Categories"
"Indexed product/categories association","Indexed product/categories association"
"Product Price","Product Price"
"Index product prices","Index product prices"
"Product EAV","Product EAV"
"Index product EAV","Index product EAV"
"Catalog New Products List","Catalog New Products List"
"List of Products that are set as New","List of Products that are set as New"
"Display Type","Display Type"
"All products - recently added products, New products - products marked as new","All products - recently added products, New products - products marked as new"
"All products","All products"
"New products","New products"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
"Template","Template"
"New Products Grid Template","New Products Grid Template"
"New Products List Template","New Products List Template"
"New Products Images and Names Template","New Products Images and Names Template"
"New Products Names Only Template","New Products Names Only Template"
"New Products Images Only Template","New Products Images Only Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache."
"Catalog Product Link","Catalog Product Link"
"Link to a Specified Product","Link to a Specified Product"
"Select Product...","Select Product..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, we'll use the product name here.","If empty, we'll use the product name here."
"Anchor Custom Title","Anchor Custom Title"
"Product Link Block Template","Product Link Block Template"
"Product Link Inline Template","Product Link Inline Template"
"Catalog Category Link","Catalog Category Link"
"Link to a Specified Category","Link to a Specified Category"
"Select Category...","Select Category..."
"If empty, we'll use the category name here.","If empty, we'll use the category name here."
"Category Link Block Template","Category Link Block Template"
"Category Link Inline Template","Category Link Inline Template"
"Recently Viewed Products","Recently Viewed Products"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"UI Component","UI Component"
"Number of Products to display","Number of Products to display"
"Product attributes to show","Product attributes to show"
"Image","Image"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","Dodaj u listu želja"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Recently Compared Products"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Set","Set"
"Category Information","Category Information"
"Enable Category","Enable Category"
"Include in Menu","Include in Menu"
"Content","Sadržaj"
"Category Image","Category Image"
"Description","Opis"
"Add CMS Block","Add CMS Block"
"Display Settings","Display Settings"
"Display Mode","Display Mode"
"Anchor","Anchor"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Use All"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Layered Navigation Price Step"
"URL Key","URL Key"
"Meta Title","Meta Title"
"Meta Keywords","Meta Keywords"
"Meta Description","Meta Description"
"Products in Category","Products in Category"
"Design","Dizajn"
"Theme","Theme"
"Layout","Layout"
"Layout Update XML","Layout Update XML"
"Apply Design to Products","Apply Design to Products"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Product Image Watermarks"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Image Opacity","Image Opacity"
"Example format: 200x300.","Example format: 200x300."
"Image Position","Image Position"
"Attribute Properties","Attribute Properties"
"Attribute Label","Attribute Label"
"Catalog Input Type for Store Owner","Catalog Input Type for Store Owner"
"Values","Values"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"System","Sistem"
"All Store Views","Svi pregledi prodavnica"
"Delete selected items?","Delete selected items?"
"Delete items","Delete items"
"Change status","Promena statusa"
"Enable","Omogući"
"Disable","Onemogući"
"Update attributes","Update attributes"
"Overview","Overview"
"Skip to the end of the images gallery","Skip to the end of the images gallery"
"Skip to the beginning of the images gallery","Skip to the beginning of the images gallery"
"Details","Detalji"
"Recently Compared","Recently Compared"
"Add To Cart","Add To Cart"
"Add To Compare","Add To Compare"
"Learn more","Learn more"
"Recently Viewed","Recently Viewed"
"Save Category","Save Category"
"Delete Category","Delete Category"
"New Subcategory","New Subcategory"
"New Root Category","New Root Category"
"Set Root Category for Store","Set Root Category for Store"
"Custom Design","Custom Design"
"Category Data","Category Data"
"Not shared with other products","Not shared with other products"
"Declare attribute value saving scope","Declare attribute value saving scope"
"Depends on design theme","Depends on design theme"
"We saved the price alert subscription.","We saved the price alert subscription."
"We saved the stock notification.","We saved the stock notification."
"Images and Videos","Images and Videos"
"Click here or drag and drop to add images.","Click here or drag and drop to add images."
"Make Base","Make Base"
"There was a category move error. %1","There was a category move error. %1"
"You moved the category","You moved the category"
"This product no longer exists.","This product no longer exists."
"We can't find the image file.","We can't find the image file."
"productFactory is already set","productFactory is already set"
"Could not save product option","Could not save product option"
"Product option with id %1 does not exist","Product option with id %1 does not exist"
"Are you sure you want to delete this category?","Da li ste sigurni da želite da obrišete ovu kategoriju?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Set root category for this store in the <a href=""%1"">configuration</a>."
"Manage Options (values of your attribute)","Manage Options (values of your attribute)"
"An attribute group named ""/name/"" already exists"".","An attribute group named ""/name/"" already exists""."
"Close panel","Close panel"
"Allow Multiple Boxes for Shipping.","Allow Multiple Boxes for Shipping."
"Ok","Ok"
"Watermark Default Size","Watermark Default Size"
"Watermark Opacity, Percent","Watermark Opacity, Percent"
"Watermark","Watermark"
"Watermark Position","Watermark Position"
"none","none"
"File validation failed.","Neuspešna provera dokumenta."
"text","text"
"Tier Price","Tier Price"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"Sort Products By","Sort Products By"
"Default Product Sorting","Default Product Sorting"
"Use Parent Category Settings","Use Parent Category Settings"
"Page not found","Page not found"
"Full file path is expected.","Full file path is expected."
"from","od"
"to","do"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Atribut ne može biti sačuvan zbog greške. Proverite informacije i pokušajte ponovo. Ukoliko i dalje prikazuje grešku, molimo pokušajte kasnije."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","Atribut nije potvrđen zbog greške. Proverite informacije i pokušajte ponovo. Ukoliko se greška nastavi, molimo pokušajte ponovo."
"Tier prices data should be array, but actually other type is received","Tier prices data should be array, but actually other type is received"
"Price indexer ""%1"" must implement %2 or %3","Price indexer ""%1"" must implement %2 or %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Maximum %1 characters","Maximum %1 characters"
"remaining","remaining"
"too many","too many"
"Sending attribute values as package.","Sending attribute values as package."
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Applies to category pages","Applies to category pages"
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Cost","Cost"
"The ""%1"" attribute is required. Enter and try again.","""%1"" atribut je obavezan. Unesite ga i pokušajte ponovo."
"Attributes were missing and must be specified.","Nedostaju atributi koji moraju biti definisani."
"The value of Admin must be unique. (%1)","Vrednost Admin mora biti jedinstvena. (%1)"
"The product was unable to be saved. Please try again.","Proizvod nije moguće sačuvati. Molimo pokušajte kasnije."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Vrednost ""%1"" svojstva nije jedinstvena. Podesite jedinstvenu vrednost i pokušajte ponovo."
"The category doesn't contain the specified product.","Kategorija ne sadrži navedeni proizvod."
"The %1 value wasn't found in the algorithms.","%1 vrednost nije pronađena u algoritmima."
"The filters are invalid. Set them in an array and try again.","Filteri nisu ispravni. Postavite ih u niz i pokušajte ponovo."
"The product wasn't registered.","Proizvod nije registrovan."
"The store wasn't registered. Verify the store and try again.","The store wasn't registered. Verify the store and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The attribute set couldn't be created because it's based on a non-product attribute set.","The attribute set couldn't be created because it's based on a non-product attribute set."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","The attribute set couldn't be created because it's based on a non-existing attribute set."
"The image content is invalid. Verify the content and try again.","The image content is invalid. Verify the content and try again."
"The product can't be saved.","The product can't be saved."
"The new media gallery entry failed to save.","The new media gallery entry failed to save."
"No image with the provided ID was found. Verify the ID and try again.","No image with the provided ID was found. Verify the ID and try again."
"The product doesn't exist. Verify and try again.","The product doesn't exist. Verify and try again."
"The image doesn't exist. Verify and try again.","The image doesn't exist. Verify and try again."
"The image doesn't exist.","The image doesn't exist."
"The image type for the file is invalid. Enter the correct image type and try again.","The image type for the file is invalid. Enter the correct image type and try again."
"The ""%1"" file couldn't be moved.","The ""%1"" file couldn't be moved."
"The ProductSku is empty. Set the ProductSku and try again.","The ProductSku is empty. Set the ProductSku and try again."
"The custom option couldn't be removed.","The custom option couldn't be removed."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","The product's required option(s) weren't entered. Make sure the options are entered and try again."
"The file options format is invalid. Use a correct format and try again.","The file options format is invalid. Use a correct format and try again."
"The file ""%1"" is empty. Select another file and try again.","The file ""%1"" is empty. Select another file and try again."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","The validation failed. Make sure the required options are entered and the file is uploaded, then try again."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again."
"The required option wasn't entered. Enter the option and try again.","The required option wasn't entered. Enter the option and try again."
"The file is empty. Select another file and try again.","The file is empty. Select another file and try again."
"The text is too long. Shorten the text and try again.","The text is too long. Shorten the text and try again."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Tier price is unavailable for this product.","Tier price is unavailable for this product."
"The tier_price data is invalid. Verify the data and try again.","The tier_price data is invalid. Verify the data and try again."
"The group price couldn't be saved.","The group price couldn't be saved."
"The data was invalid. Verify the data and try again.","The data was invalid. Verify the data and try again."
"Values in the %1 attributes are invalid. Verify the values and try again.","Values in the %1 attributes are invalid. Verify the values and try again."
"We can't create the ""%1"" writeable directory.","We can't create the ""%1"" writeable directory."
"The file upload failed. Try to upload again.","The file upload failed. Try to upload again."
"The product has required options. Enter the options and try again.","The product has required options. Enter the options and try again."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group can't be deleted because it contains system attributes.","The attribute group can't be deleted because it contains system attributes."
"The collection provider isn't registered.","The collection provider isn't registered."
"The ""%1"" link type is unknown. Verify the type and try again.","The ""%1"" link type is unknown. Verify the type and try again."
"The ""%1"" link type wasn't found. Verify the type and try again.","The ""%1"" link type wasn't found. Verify the type and try again."
"The linked products data is invalid. Verify the data and try again.","The linked products data is invalid. Verify the data and try again."
"The product that was requested doesn't exist. Verify the product and try again.","The product that was requested doesn't exist. Verify the product and try again."
"The Product with the ""%1"" SKU doesn't exist.","The Product with the ""%1"" SKU doesn't exist."
"The ""%1"" product couldn't be removed.","The ""%1"" product couldn't be removed."
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter."
"Advanced","Advanced"
