"Root","Raíz"
"Select Attribute","Seleccione el atributo"
"Create New Attribute","Crear nuevo atributo"
"Customizable Options","Opciones personalizables"
"Custom options let customers choose the product variations they want.","Las opciones personalizadas permiten al comprador de elegir la variante de producto que quieren."
"Add Option","Agregar opción"
"New Option","Nueva opción"
"Select Product","Selecciona artículo"
"Option Title","Título de opciones"
"Add Value","Añadir un valor"
"Title","Título"
"Option Type","Tipo de opción"
"Required","Requerido"
"Price Type","Tipo de precio"
"Max Characters","Número máximos de caractéres"
"Compatible File Extensions","Extensiones de archivos compatibles"
"Enter separated extensions, like: png, jpg, gif.","Introducir las extensiones separadas, como: png, jpg, gif."
"Maximum Image Size","Tamaño máximo de la imagen"
"Please leave blank if it is not an image.","Por favor deje en blanco si no es una imagen."
"%1","%1"
"This item has weight","Este artículo tiene peso"
"This item has no weight","Este artículo no tiene peso"
"Set Product as New From","Pon el artículo como nuevo desde"
"Related Products, Up-Sells, and Cross-Sells","Artículos relacionados, ventas mejoradas y ventas cruzadas"
"Related products are shown to customers in addition to the item the customer is looking at.","Los productos relacionados se muestran a los clientes además del artículo que el cliente está viendo."
"Add Related Products","Añadir artículos relacionados"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","Un artículo de venta se ofrece al cliente como una alternativa más caras o más de alta calidad al producto que el cliente está buscando."
"Add Up-Sell Products","Agregue los artículos de venta mejorada"
"Up-Sell Products","Artículos de venta mejorada"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","Estos productos de ""compra de impulso"" aparecen junto al carrito de compras como cross-sells a los elementos actualmente en el carrito de compras."
"Add Cross-Sell Products","Agregue los artículos de venta cruzada"
"Cross-Sell Products","Artículos de venta cruzada"
"Add Selected Products","Añadir productos seleccionados"
"Remove","Eliminar"
"Thumbnail","Miniatura"
"Actions","Acciones"
"Schedule Update From","Programa actualización desde"
"Product in Websites","Producto en sitios web"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","Si su instalación de Magento tiene múltiples sitios web, puede editar el alcance para utilizar el producto en sitios específicos."
"name","nombre"
"Copy Data from","Copiar datos desde"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","Si no hay categorías padres personalizadas, por favor utilice la categoría principal predeterminada. Usted puede reasignar la categoría en cualquier momento en <a href=""%1"" target=""_blank"">Productos > Categorias</a>."
"This operation can take a long time","Esta operación puede tardar mucho tiempo"
"Collapse All","Contraer todo"
"Expand All","Abrir todos"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirmar cambio de sitio. Se perderán todos los datos que no ha sido guardados."
"Use Default Value","Usar Valor Predeterminado"
"Manage Titles (Size, Color, etc.)","Gestionar títulos (tamaño, color, etc.)"
"Manage Options (Values of Your Attribute)","Administrar opciones (valores de atributo)"
"Is Default","Es por defecto"
"Sort Option","Opción de organización"
"Groups","Grupos"
"Double click on a group to rename it.","Haga doble click en un grupo para cambiar el nombre."
"Unassigned Attributes","Atributos sin asignar"
"A name is required.","Se requiere un nombre."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contiene atributos del sistema. Pase los atributos del sistema a otro grupo y vuelva a intentarlo."
"Please select a node.","Por favor, seleccione un nodo."
"Please enter a new group name.","Por favor, ingrese un nuevo nombre de grupo."
"An attribute group named ""/name/"" already exists.","Un grupo de atributos llamado ""/name/"" ya existe."
"Sorry, we're unable to complete this request.","Lo sentimos, no podemos completar esta petición."
"You can't remove attributes from this attribute set.","No puedes eliminar atributos en este grupo de atributos."
"Custom Options","Opciones personalizadas"
"This is a required option.","Esta es una opción obligatoria."
"The field isn't complete.","El campo no está completo."
"Compatible file extensions to upload","Extensiones de archivos compatibles para cargar"
"Maximum image width","Anchura máxima de la imagen"
"Maximum image height","Altura máxima de la imagen"
"Maximum number of characters:","Número máximo de caracteres:"
"start typing to search template","comienza a escribir para buscar plantillas"
"Product online","Artículo en línea"
"Product offline","Artículo fuera de línea"
"Product online status","Estado del artículo en línea"
"Manage Stock","Gestionar existencias"
"Qty","Cantidad"
"Out-of-Stock Threshold","Umbral fuera de Stock"
"Minimum Qty Allowed in Shopping Cart","Cantidad Mínima Permitida en la Cesta de Compra"
"Maximum Qty Allowed in Shopping Cart","Cantidad Máxima Permitida en la Cesta del Carrito"
"Qty Uses Decimals","La Cantidad Usa Decimales"
"Backorders","Pedidos pendientes"
"Notify for Quantity Below","Notificar cuando la cantidad sea inferior a"
"Enable Qty Increments","Habilitar incrementos de cantidad"
"Qty Increments","Incrementos de cantidad"
"Stock Availability","Disponibilidad de inventario"
"In Stock","En existencias"
"Out of Stock","Fuera de existencias"
"Add Product To Websites","Añadir artículo a sitios web"
"Remove Product From Websites","Eliminar el artículo de los sitios de Internet"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Para ocultar un elemento de catálogo o la búsqueda de resultados, establecer el estado a ""Deshabilitado""."
"We can't save custom-defined options for bundles with dynamic pricing.","No podemos guardar opciones personalizadas para conjuntos con precio dinámico."
"Delete Custom Option","Eliminar opción personalizada"
"Sort Custom Options","Ordenar opciones personalizadas"
"Input Type","Introducir tipo"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Ordenar opción personalizada"
"Item Price","Precio del artículo"
"Action","Acción"
"and above","y por encima"
"Delete Tier","Eliminar escalones de precios"
"Product In Websites","Artículo en sitios web"
"(Copy data from: %1)","(Copiar información desde: %1)"
"Browse to find or drag image here","Selecciona o arrastra la imagen aquí"
"Delete image","Eliminar imagen"
"Hidden","Oculto"
"Alt Text","Texto alternativo"
"Role","Cargo"
"Image Size","Tamaño de la imagen"
"{size}","{tamaño}"
"Image Resolution","Resolución de imagen"
"{width}^{height} px","{ancho}^{alto}px"
"Hide from Product Page","Ocultar de la página de producto"
"Allow Multiple Boxes for Shipping","Permitir varios paquetes para envío"
"start typing to search attribute","comienza a escribir para buscar atributo"
"Basic Settings","Ajustes básicas"
"Advanced Settings","Configuración avanzada"
"Changes have been made to this section that have not been saved.","Se han efectuado cambios a esta sección que no se han guardado."
"This tab contains invalid data. Please resolve this before saving.","Esta ficha contiene datos no válidos. Por favor, resuélvelo antes de guardar."
"Mass Actions","Acción masiva"
"Select All","Seleccionar Todo"
"Unselect All","Deseleccionar todo"
"Select Visible","Seleccionar los visibles"
"Unselect Visible","Deseleccionar los visibles"
"Special Price","Precio especial"
"Regular Price","Precio habitual"
"Buy %1 for: ","Compra %1 por: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Comprar %1 por %2 cada uno y <strong class=""benefit"">ahorra <span class=""percent tier-%3""> %4</span>%</strong>"
"Buy %1 for %2 each","Comprar %1 por %2 cada uno"
"Shop By","Comprar por"
"Shopping Options","Opciones de compra"
"Compare Products","Comparar productos"
"Print This Page","Imprimir esta página"
"Remove Product","Eliminar artículo"
"Add to Cart","Añadir al carrito"
"In stock","Disponible"
"Out of stock","No está disponible"
"Add to Wish List","Añadir a la Lista de Deseos"
"You have no items to compare.","No tiene ningún artículo para comparar."
"Remove This Item","Eliminar este artículo"
"Compare","Comparar"
"Clear All","Eliminar todo"
"Prev","Anterior"
"Next","Siguiente"
"We can't find products matching the selection.","No podemos encontrar productos que coincida con la selección."
"Learn More","Saber más"
"Add to Compare","Añadir para comparar"
"We found other products you might like!","¡Hemos encontrado otros productos que te pueden gustar!"
"More Choices:","Más opciones:"
"Check items to add to the cart or","Comprueba los artículos para añadir a la cesta o"
"select all","seleccionar todo"
"Items %1-%2 of %3","Artículos %1-%2 de %3"
"%1 Item","%1 artículo"
"%1 Items","%1 artículos"
"Show","Mostrar"
"per page","por página"
"Sort By","Ordenar por"
"Set Ascending Direction","Fijar Dirección Ascendente"
"Set Descending Direction","Fijar Dirección Descendente"
"View as","Ver como"
"More Information","Más Información"
"Loading...","Cargando..."
"* Required Fields","* Campos obligatorios"
"Availability","Disponibilidad"
"Warning message","Mensaje de advertencia"
"Submit","Enviar"
"We don't recognize or support this file extension type.","No reconocemos o soportamos este tipo de extensión de archivo."
"Configure Product","Configurar artículo"
"OK","Aceptar"
"This value does not follow the specified format (for example, 200x300).","Este valor no sigue el formato especificado (por ejemplo, 200 x 300)."
"Select type of option.","Seleccione el tipo de opción."
"Please add rows to option.","Por favor, añadir filas a la opción."
"Please select items.","Por favor selecciona productos."
"Choose existing category.","Elige categoría existente."
"Image Detail","Detalles de la imagen"
"Adding...","Añadiendo..."
"Added","Añadido"
"does not implement Storage Interface","no implementa la interfaz de almacenamiento"
"unselect all","deseleccionar todo"
"Inventory","Inventario"
"Catalog Section","Sección de Catálogo"
"Small","Pequeño"
"Main","Principal"
"Custom image","Imagen personalizada"
"Product Fields Auto-Generation","Generación automática de campos producto"
"Mask for SKU","Máscara para el SKU"
"Use {{name}} as Product Name placeholder","Usar {{name}} como ejemplo de nombre de producto"
"Mask for Meta Title","Máscara para Meta Title"
"Mask for Meta Keywords","Máscara para Meta Keywords"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utilizar {{name}} como nombre del producto o {{sku}} como ejemplos de SKU de producto"
"Mask for Meta Description","Máscara para la descripción Meta"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utilizar {{name}} y {{description}} como ejemplos de nombre del producto y descripción del producto"
"Recently Viewed/Compared Products","Artículos vistos/comparados recientemente"
"Lifetime of products in Recently Viewed Widget","Vida útil de los productos en Widget recientemente visto"
"Lifetime of products in Recently Compared Widget","Vida útil de los productos en Widget Comparado recientemente"
"Synchronize widget products with backend storage","Sincronice productos de widgets con almacenamiento de backend"
"Storefront","Tienda"
"List Mode","Modo de lista"
"Products per Page on Grid Allowed Values","Artículos por página (valores permitidos por la cuadrícula)"
"Comma-separated.","Separados por coma."
"Products per Page on Grid Default Value","Artículos por página (predeterminado por la cuadrícula)"
"Must be in the allowed values list","Debe estar en la lista de valores permitidos"
"Products per Page on List Allowed Values","Artículos por página (valores permitidos por la lista)"
"Products per Page on List Default Value","Artículos por página (predeterminado por la lista)"
"Use Flat Catalog Category","Utilizar categoría de catálogo plano"
"Use Flat Catalog Product","Utilizar artículo de catálogo plano"
"Product Listing Sort by","Ordenar lista de productos por"
"Allow All Products per Page","Permitir todos los artículos por página"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown","Si se muestra la opción ""Todos"" en el menú desplegable ""Mostrar X por página"""
"Allow Dynamic Media URLs in Products and Categories","Permitir direcciones URL multimedia dinámicas en artículos y categorías"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","P. ej. {{media url=""path/to/imagen.jpg""}} {{skin url=""path/to/imagen.gif""}}. Directivas dinámicas tienen un impactos negativo al rendimiento de catálogo."
"Product Image Placeholders","Marcadores de posición de imagen de artículo"
"Search Engine Optimization","Optimización de los motores de búsqueda"
"Page Title Separator","Separador de título de página"
"Use Canonical Link Meta Tag For Categories","Utilizar metaetiqueta de enlace canónico para categorías"
"Use Canonical Link Meta Tag For Products","Utilizar meta-etiqueta de enlace canónico para los artículos"
"Catalog Price Scope","Alcance del precio del catálogo"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Esto define el alcance de la divisa base (""Configuración de la Moneda"" > ""Opciones de Moneda"" > ""Moneda Base"")."
"Category Top Navigation","Categoría de navegación superior"
"Maximal Depth","Profundidad máxima"
"Date & Time Custom Options","Opciones personalizadas de fecha y hora"
"Use JavaScript Calendar","Utilizar calendario de JavaScript"
"Date Fields Order","Ordenar por fecha"
"Time Format","Formato de hora"
"Year Range","Rango de años"
"Please use a four-digit year format.","Por favor utilice un formato de año de cuatro dígitos."
"Use Static URLs for Media Content in WYSIWYG for Catalog","Utilizar URL estáticas para contenido multimedia en WYSIWYG para el catálogo"
"This applies only to catalog products and categories. Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Esto sólo se aplica a los productos de catálogo y categorías. El contenido media se insertará en el editor como una dirección URL estática. El contenido media no se actualiza si la configuración de la URL base cambia."
"Top Level Category","Categoría de nivel superior"
"Product Info Column","Columna de información del producto"
"Block after Info Column","Bloque después de columna de información"
"Product Flat Data","Datos fijos de artículo"
"Reorganize EAV product structure to flat structure","Reorganizar la esctructura de artículo EAV a una estructura plana"
"Category Flat Data","Datos planos de categoría"
"Reorganize EAV category structure to flat structure","Reorganizar la esctructura de categoría EAV a una estructura plana"
"Category Products","Artículos de la categoría"
"Indexed category/products association","Asociación categoría/artículos indexada"
"Product Categories","Categorías de artículo"
"Indexed product/categories association","Indexo asociación producto/categorias"
"Product Price","Precio del producto"
"Index product prices","Indexar los precios de artículos"
"Product EAV","Producto EAV"
"Index product EAV","Indexar producto EAV"
"Catalog New Products List","Lista de nuevos artículos del catálogo"
"List of Products that are set as New","Lista de artículos marcados como nuevos"
"Display Type","Tipo de visualización"
"All products - recently added products, New products - products marked as new","Todos los artículos - artículos añadidos recientemente, Nuevos artículos - artículos marcados como nuevos"
"All products","Todos los artículos"
"New products","Nuevos artículos"
"Display Page Control","Mostrar control de página"
"Number of Products per Page","Número de productos por página"
"Number of Products to Display","Número de artículos a mostrar"
"Template","Plantilla"
"New Products Grid Template","Plantilla de cuadrícula de nuevos artículos"
"New Products List Template","Plantilla de lista de nuevos artículos"
"New Products Images and Names Template","Plantilla de imágenes de productos y nombres nuevas"
"New Products Names Only Template","Plantilla de sólo nombres de nuevos productos"
"New Products Images Only Template","Plantilla de sólo imágenes de nuevos productos"
"Cache Lifetime (Seconds)","Ciclo de vida caché (segundos)"
"86400 by default, if not set. To refresh instantly, clear the Blocks HTML Output cache.","La opción predeterminada es 86400, si no se configura. Para actualizarla instantáneamente, borre el caché de salida de bloques HTML."
"Catalog Product Link","Enlace al catálgo de artículos"
"Link to a Specified Product","Enlace a un artículo específico"
"Select Product...","Seleccionar artículo..."
"Anchor Custom Text","Ancla Texto personalizado"
"If empty, we'll use the product name here.","Si está vacío, usaremos el nombre del producto aquí."
"Anchor Custom Title","Anclar título personalizado"
"Product Link Block Template","Plantilla de bloque de Vínculo de artículo"
"Product Link Inline Template","Plantilla en línea de Vínculo de artículo"
"Catalog Category Link","Enlace a la categoría de catálogo"
"Link to a Specified Category","Enlace a una categoría específica"
"Select Category...","Seleccionar categoría..."
"If empty, we'll use the category name here.","Si está vacío, usaremos el nombre de categoría aquí."
"Category Link Block Template","Modelo del bloque de enlaces de categorías"
"Category Link Inline Template","Modelo de enlaces en línea a categorías"
"Recently Viewed Products","Artículos vistos recientemente"
"List of Products Recently Viewed by Visitor","Lista de artículos recientemente examinados por el visitante"
"UI Component","Componente UI"
"Number of Products to display","Número de productos para mostrar"
"Product attributes to show","Atributos del producto para mostrar"
"Image","Imagen"
"Learn More Link","Conozca más Enlace"
"Buttons to show","Botones para mostrar"
"Add to Wishlist","Añadir a la lista de deseos"
"Viewed Products Grid Template","Productos vistos Plantilla de cuadrícula"
"Viewed Products List Template","Plantilla de lista de productos vistos"
"Viewed Products Sidebar Template","Productos vistos Plantilla de barra lateral"
"Recently Compared Products","Productos recientemente comparados"
"List of Products Recently Compared by Visitor","Lista de productos recientemente comparados por el visitante"
"Compared Products Grid Template","Plantilla de cuadrícula de productos comparados"
"Compared Products List Template","Plantilla de lista de productos comparados"
"Set","Establecer"
"Category Information","Información de Categoría"
"Enable Category","Habilitar la categoría"
"Include in Menu","Incluir en el menú"
"Content","Contenido"
"Category Image","Imagen de la categoría"
"Description","Descripción"
"Add CMS Block","Añadir bloque CMS"
"Display Settings","Ajuste de Visualización"
"Display Mode","Modo de visualización"
"Anchor","Ancla"
"Available Product Listing Sort By","Ordenado disponible de listado de productos"
"Use All","Utilizar Todo"
"Default Product Listing Sort By","Ordenado predeterminado de listado de productos"
"Layered Navigation Price Step","Escalón de precio de la navegación por capas"
"URL Key","Clave URL"
"Meta Title","Título Meta"
"Meta Keywords","Meta-Schlüsselwörter"
"Meta Description","Meta-Beschreibung"
"Products in Category","Productos en la categoría"
"Design","Diseño"
"Theme","Plantilla"
"Layout","Diseño"
"Layout Update XML","Actualización de diseño XML"
"Apply Design to Products","Aplicar diseño a los productos"
"Schedule Design Update","Programar actualización de diseño"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Marcas de agua de imagen de artículo"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Tipos permitidos de archivo: jpeg, gif, png."
"Image Opacity","Opacidad de la imagen"
"Example format: 200x300.","Formato de ejemplo: 200 x 300."
"Image Position","Posición de la imagen"
"Attribute Properties","Propiedades de atributo"
"Attribute Label","Etiqueta de atributo"
"Catalog Input Type for Store Owner","Tipo de entrada de catálogo para el dueño de la tienda"
"Values","Valores"
"Add this attribute to the list of column options in the product grid.","Añadir este atributo a la lista de opciones de la columna en la cuadrícula de producto."
"Add this attribute to the list of filter options in the product grid.","Añadir este atributo a la lista de opciones de filtro en la cuadrícula de producto."
"System","Sistema"
"All Store Views","Todas las vistas de la tienda"
"Delete selected items?","¿Eliminar los elementos seleccionados?"
"Delete items","Eliminar elementos"
"Change status","Cambiar estado"
"Enable","Activado"
"Disable","Desactivar"
"Update attributes","Actualizar atributos"
"Overview","Vista general"
"Skip to the end of the images gallery","Saltar al final de la galería de imágenes"
"Skip to the beginning of the images gallery","Saltar al comienzo de la galería de imágenes"
"Details","Detalles"
"Recently Compared","Comparados recientemente"
"Add To Cart","Agregar al carrito"
"Add To Compare","Añadir para comparar"
"Learn more","Aprenda más"
"Recently Viewed","Vistos recientemente"
"Save Category","Guardar categoría"
"Delete Category","Eliminar categoría"
"New Subcategory","Nueva subcategoría"
"New Root Category","Nueva categoría raíz"
"Set Root Category for Store","Establecer categoría raíz para la tienda"
"Custom Design","Diseño Personalizado"
"Category Data","Datos de categoría"
"Not shared with other products","No se comparte con otros artículos"
"Declare attribute value saving scope","Determinar el área de almacenamiento de los valores del atributo "
"Depends on design theme","Depende del tema de diseño"
"We saved the price alert subscription.","Se guardo la suscripción a alertas de precio."
"We saved the stock notification.","Se guardo la suscripción a notificación de stock."
"Images and Videos","Imágenes y vídeos"
"Click here or drag and drop to add images.","Haga clic aquí o arrastrar y soltar para añadir imágenes."
"Make Base","Hacer Base"
"There was a category move error. %1","Al mover la categoría se ha producido un error. %1"
"You moved the category","Se movió la categoría"
"This product no longer exists.","Este producto ya no existe."
"We can't find the image file.","No se puede encontrar el archivo de imagen."
"productFactory is already set","productFactory ya está configurado"
"Could not save product option","No se puede guardar la opción del producto"
"Product option with id %1 does not exist","La opción del producto con id %1 no existe"
"Are you sure you want to delete this category?","¿Está seguro de que desea eliminar esta categoría?"
"ID: %1","ID: %1"
"Set root category for this store in the <a href=""%1"">configuration</a>.","Establece la categoría para esta tienda en la <a href=""%1"">configuración</a>."
"Manage Options (values of your attribute)","Gestionar opciones (valores del atributo)"
"An attribute group named ""/name/"" already exists"".","Un grupo de atributos llamado ""/name/"" ya existe""."
"Close panel","Cerrar panel"
"Allow Multiple Boxes for Shipping.","Permitir múltiples cajas para envío."
"Ok","Aceptar"
"Watermark Default Size","Tamaño de la marca de agua (predeterminado)"
"Watermark Opacity, Percent","Opacidad de la marca de agua, porcentaje"
"Watermark","Marca de agua"
"Watermark Position","Posición de la marca de agua"
"none","ninguna"
"File validation failed.","La validación de archivo falló."
"text","texto"
"Tier Price","Descuento por cantidad"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","Si su sitio Magento tiene varias vistas, puede establecer el alcance que se aplican a una vista específica."
"Sort Products By","Ordenar los productos por"
"Default Product Sorting","Ordenado de productos predeterminado"
"Use Parent Category Settings","Utilizar ajustes de la categoría padre"
"Page not found","No se encuentra la página"
"Full file path is expected.","Se espera la ruta completa del archivo."
"from","a partir de"
"to","hasta"
"The attribute couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","El conjunto de atributos no se pudo guardar debido a un error. Verifique su información y vuelva a intentarlo. Si el error persiste, inténtalo de nuevo más tarde."
"The attribute couldn't be validated due to an error. Verify your information and try again. If the error persists, please try again later.","El conjunto de atributos no se pudo guardar debido a un error. Verifique su información y vuelva a intentarlo. Si el error persiste, inténtalo de nuevo más tarde."
"Tier prices data should be array, but actually other type is received","Los datos de precios del nivel deben ser matrices, pero en realidad se recibe otro tipo"
"Price indexer ""%1"" must implement %2 or %3","Indexador de precios ""%1"" debe implementar %2 o %3"
"You added product %1 to the <a href=""%2"">comparison list</a>.","Había añadido el producto %1 a la <a href=""%2"">lista de comparación</a>."
"Maximum %1 characters","Máximo %s caracteres."
"remaining","restantes"
"too many","muchos"
"Sending attribute values as package.","Envío de valores de atributo como paquete."
"This value does not follow the specified format (for example, 200X300).","Este valor no sigue el formato especificado (por ejemplo, 200 x 300)."
"Applies to category pages","Aplicar a páginas de categoría"
"Remember Category Pagination","Recordar Paginación de Categoría"
"Changing may affect SEO and cache storage consumption.","El cambio puede afectar al consumo de almacenamiento del caché y el SEO."
"Images Upload Configuration","Configuración para subir imágenes"
"Quality","Calidad"
"Jpeg quality for resized images 1-100%.","Calidad de Jpeg para imágenes resizadas 1-100%."
"Cost","Coste"
"The ""%1"" attribute is required. Enter and try again.","Se necesita el atributo ""%1"". Introducelo y pruebe de nuevo."
"Attributes were missing and must be specified.","No se encuentra atributos y deben especificarse."
"The value of Admin must be unique. (%1)","El valor de Admin debe ser único. (%1)"
"The product was unable to be saved. Please try again.","El producto no pudo ser guardado. Por favor, inténtelo de nuevo."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","El valor del atributo ""%1"" no es único. Establece un valor único y vuelve a intentarlo."
"The category doesn't contain the specified product.","La categoría no contiene el producto especificado."
"The %1 value wasn't found in the algorithms.","El valor %1 no se encontró en los algoritmos."
"The filters are invalid. Set them in an array and try again.","Los filtros no son válidos. Pongalos juntos y vuelva a intentarlo."
"The product wasn't registered.","El producto no estaba registrado."
"The store wasn't registered. Verify the store and try again.","La tienda no estaba registrada. Verificar la tienda e inténtelo de nuevo."
"The ""%1"" attribute value is empty. Set the attribute and try again.","El valor del atributo ""%1"" está vacío. Establece el atributo y vuelve a intentarlo."
"The attribute set couldn't be created because it's based on a non-product attribute set.","No se ha podido crear el atributo porque está basado en un conjunto de atributos inexistente."
"The attribute set couldn't be created because it's based on a non-existing attribute set.","No se ha podido crear el atributo porque está basado en un conjunto de atributos inexistente."
"The image content is invalid. Verify the content and try again.","La imagen no es válida. Verifique el contenido y vuelva a intentarlo."
"The product can't be saved.","No se puede guardar el producto."
"The new media gallery entry failed to save.","No se pudo guardar la nueva galería multimedia."
"No image with the provided ID was found. Verify the ID and try again.","No se ha encontrado ninguna imagen con el ID dado. Verificar el ID y vuelva a intentarlo."
"The product doesn't exist. Verify and try again.","El producto no existe. Verifique y vuelva a intentarlo."
"The image doesn't exist. Verify and try again.","La imagen no existe. Verifique y vuelva a intentarlo."
"The image doesn't exist.","La imagen no existe."
"The image type for the file is invalid. Enter the correct image type and try again.","El tipo de imagen para el archivo no es válido. Introduzca el tipo de imagen correcta e inténtelo de nuevo."
"The ""%1"" file couldn't be moved.","No se pudo mover el archivo ""%1""."
"The ProductSku is empty. Set the ProductSku and try again.","El sku del producto está vacía. Establecer sku e inténtelo de nuevo."
"The custom option couldn't be removed.","La opción personalizada no pudo guardarse."
"The product's required option(s) weren't entered. Make sure the options are entered and try again.","No se introdujeron las opciones del producto. Asegúrese de que las opciones se introducen e inténtelo de nuevo."
"The file options format is invalid. Use a correct format and try again.","El formato del archivo de opciones no es válido. Utiliza un formato correcto y vuelva a intentarlo."
"The file ""%1"" is empty. Select another file and try again.","El archivo ""%1"" está vacío. Seleccione otro archivo y vuelva a intentarlo."
"The validation failed. Make sure the required options are entered and the file is uploaded, then try again.","La validación ha fallado. Asegúrese de que las opciones necesarias se introducen y se carga el archivo, entonces vuelva a intentarlo."
"The file was too big and couldn't be uploaded. Use a file smaller than %1 MBs and try to upload again.","El archivo era demasiado grande y no se ha cargado. Utiliza un archivo más pequeño que %1 MBs e intenta subirlo otra vez."
"The required option wasn't entered. Enter the option and try again.","La opción requerida no se ha introducido. Introduce la opción y vuelva a intentarlo."
"The file is empty. Select another file and try again.","El archivo está vacío. Seleccione otro archivo y vuelva a intentarlo."
"The text is too long. Shorten the text and try again.","El texto es demasiado largo. Acorta el texto y vuelva a intentarlo."
"The product that was requested doesn't exist. Verify the product and try again. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","El producto que ha solicitado no existe. Verifica el producto y vuelva a intentarlo. ID de la fila: SKU = %SKU, tienda ID: %storeId, precio desde: riceFrom %p, precio a: riceTo %p."
"Tier price is unavailable for this product.","Los niveles de precios no están disponibles para este producto."
"The tier_price data is invalid. Verify the data and try again.","Los niveles de precio no son válidos. Verifica los datos e inténtelo de nuevo."
"The group price couldn't be saved.","El precio de grupo no pudo ser guardado."
"The data was invalid. Verify the data and try again.","Los datos no son válidos. Verifica los datos e inténtelo de nuevo."
"Values in the %1 attributes are invalid. Verify the values and try again.","Valores en los atributos %1 no son válidos. Verifica los valores y vuelva a intentarlo."
"We can't create the ""%1"" writeable directory.","No se puede crear el directorio escribible ""%1."
"The file upload failed. Try to upload again.","Falló la subida del archivo. Intenta subir otra vez."
"The product has required options. Enter the options and try again.","El producto tiene opciones requeridas. Introduce las opciones e intentelo de nuevo."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","El grupo con el ID ""%1"" no existe. Verifique el ID y vuelva a intentarlo."
"The attribute group can't be deleted because it contains system attributes.","El grupo de atributos no se puede eliminar porque contiene atributos de sistema."
"The collection provider isn't registered.","El proveedor de la colección no está registrado."
"The ""%1"" link type is unknown. Verify the type and try again.","No se conoce el tipo de link ""%1"". Verifica el tipo e inténtelo de nuevo."
"The ""%1"" link type wasn't found. Verify the type and try again.","No se encuentra el tipo de link ""%1"". Verifica el tipo e inténtelo de nuevo."
"The linked products data is invalid. Verify the data and try again.","Los datos de los productos enlazados no son validos. Verifica los datos e inténtelo de nuevo."
"The product that was requested doesn't exist. Verify the product and try again.","El producto solicitado no existe. Verifique el producto y vuelva a intentarlo."
"The Product with the ""%1"" SKU doesn't exist.","El producto con SKU ""%1"" no existe."
"The ""%1"" product couldn't be removed.","El producto ""%1"" no pudo ser eliminado."
"Category with ID: %s doesn't exist","Categoría con ID: %s no existe"
"Product Name or SKU","Nombre del producto, REF"
"Start typing to find products","Comienza a escribir para encontrar productos"
"Product with ID: %s doesn't exist","El producto con ID ""%s"" no existe"
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Procesador %1 no implementa WysiwygConfigDataProcessorInterface. Se omitirá"
"An item needs to be selected. Select and try again.","Un elemento debe ser seleccionado. Seleccione y vuelva a intentarlo."
"Use Static URLs for Media Content in WYSIWYG","Utilizar URL estáticas para contenido multimedia en WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","El contenido de medios deberá ser insertado en el editor como una URL estática. El contenido no se actualizara si la URL cambia."
"Default Layouts","Diseño por defecto"
"Default Product Layout","Opciones por defecto del producto"
"Default Category Layout","Opciones por defecto de Categoria"
