"Root","Bază"
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo."
"Lock wait timeout","Lock wait timeout"
"123","123"
"Select...","Selectați..."
"Images","Imagini"
"Category with ID: %s doesn't exist","Category with ID: %s doesn't exist"
"Product Name or SKU","Product Name or SKU"
"Start typing to find products","Start typing to find products"
"Product with ID: %s doesn't exist","Product with ID: %s doesn't exist"
"Advanced Pricing","Advanced Pricing"
"Customer Group Price","Customer Group Price"
"Customer Group","Grup Clienți"
"Special Price From","Special Price From"
"To","Către"
"Done","Efectuat"
"Product Alerts","Alerte produs"
"Alert stock","Alert stock"
"Alert Stock","Alert Stock"
"Alert price","Alert price"
"Alert Price","Alert Price"
"Add Selected","Add Selected"
"Select Attribute","Select Attribute"
"Create New Attribute","Creați atribut nou"
"Customizable Options","Customizable Options"
"Custom options let customers choose the product variations they want.","Custom options let customers choose the product variations they want."
"Add Option","Adăugați opțiune"
"New Option","Opțiune nouă."
"Select Product","Selectați produs."
"Option Title","Titlu opțiune"
"Add Value","Add Value"
"Title","Titlu"
"Option Type","Option Type"
"Required","Necesar"
"Price Type","Tip preț"
"Max Characters","Număr maxim de caractere"
"Compatible File Extensions","Extensii de fișier compatibile"
"Enter separated extensions, like: png, jpg, gif.","Enter separated extensions, like: png, jpg, gif."
"Maximum Image Size","Mărime maximă imagine"
"Please leave blank if it is not an image.","Dacă nu este imagine, lăsați câmpul necompletat."
"Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped","Processor %1 doesn't implement WysiwygConfigDataProcessorInterface. It will be skipped"
"This item has weight","This item has weight"
"This item has no weight","This item has no weight"
"Set Product as New From","Set Product as New From"
"Related Products, Up-Sells, and Cross-Sells","Related Products, Up-Sells, and Cross-Sells"
"Related products are shown to customers in addition to the item the customer is looking at.","Related products are shown to customers in addition to the item the customer is looking at."
"Add Related Products","Add Related Products"
"An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at.","An up-sell item is offered to the customer as a pricier or higher-quality alternative to the product the customer is looking at."
"Add Up-Sell Products","Add Up-Sell Products"
"Up-Sell Products","Up-Sell Products"
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart."
"Add Cross-Sell Products","Add Cross-Sell Products"
"Cross-Sell Products","Cross-Sell Products"
"Add Selected Products","Adăugați produsele selectate"
"Remove","Elimină"
"Thumbnail","Miniatură"
"Actions","Actiuni"
"Schedule Update From","Schedule Update From"
"Product in Websites","Product in Websites"
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.","If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites."
"name","Nume"
"Copy Data from","Copy Data from"
"If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>.","If there are no custom parent categories, please use the default parent category. You can reassign the category at any time in <a href=""%1"" target=""_blank"">Products &gt; Categories</a>."
"This operation can take a long time","Această operațiune poate dura mult timp"
"Collapse All","Restrângeți toate"
"Expand All","Extindeți toate"
"Please confirm site switching. All data that hasn't been saved will be lost.","Confirmați schimbarea site-ului. Toate informațiile nesalvate vor fi pierdute."
"None","Nici unul"
"Use Default Value","Folosiți valoare implicită"
"Manage Titles (Size, Color, etc.)","Gestionați titluri (Mărime, Culoare, etc.)"
"Manage Options (Values of Your Attribute)","Manage Options (Values of Your Attribute)"
"Is Default","Este implicit"
"Sort Option","Sortează opțiune"
"The value of Admin must be unique.","The value of Admin must be unique."
"Groups","Grupuri"
"Double click on a group to rename it.","Faceți dublu click pe un grup pentru a-l redenumi."
"Unassigned Attributes","Atribute nealocate"
"This group contains system attributes. Please move system attributes to another group and try again.","Acest grup conține atribute de sistem. Mutați atributele de sistem în alt grup și încercați din nou."
"A name is required.","Un nume este necesar."
"Please select a node.","Please select a node."
"Please enter a new group name.","Introduceți un nume de grup."
"An attribute group named ""/name/"" already exists.","An attribute group named ""/name/"" already exists."
"Sorry, we're unable to complete this request.","Ne cerem scuze, nu s-a putut finaliza solicitarea."
"You can't remove attributes from this attribute set.","Nu puteți șterge atribute din acest set."
"Custom Options","Opțiuni personalizate"
"This is a required option.","Aceasta este o opțiune obligatorie."
"The field isn't complete.","Acest câmp nu este complet."
"Compatible file extensions to upload","Extensii de fișier compatibile de încărcat"
"Maximum image width","Lățime maximă imagine"
"Maximum image height","înălțime maximă imagine"
"Maximum number of characters:","Număr maxim de caractere:"
"start typing to search template","începeți să tastați pentru a căuta șablonul"
"Product online","Produs online"
"Product offline","Produs offline"
"Product online status","Status produs online"
"Manage Stock","Gestionare stoc"
"Qty","Cantitate"
"Out-of-Stock Threshold","Prag Epuizat-din-stoc"
"Minimum Qty Allowed in Shopping Cart","Cantitate minimă admisă în coșul de cumpărături"
"Maximum Qty Allowed in Shopping Cart","Cantitate maximă admisă în coșul de cumpărături"
"Qty Uses Decimals","Cantitatea folosește zecimale"
"Backorders","Comenzi în așteptare"
"Notify for Quantity Below","Notificați pentru cantitate mai jos"
"Enable Qty Increments","Activați creșteri cantitate"
"Qty Increments","Creșteri cantitate"
"Stock Availability","Disponibilitate stoc"
"In Stock","în stoc"
"Out of Stock","Epuizat din stoc"
"Add Product To Websites","Adăugați produs la website-uri"
"Remove Product From Websites","ștergeți produs din website-uri"
"To hide an item in catalog or search results, set the status to ""Disabled"".","Pentru a ascunde un articol din catalog sau din rezultatele de căutare, setează statusul pe ""Dezactivat""."
"We can't save custom-defined options for bundles with dynamic pricing.","Nu se pot salva opțiunile personalizat-definite pentru pachete cu preț dinamic."
"Delete Custom Option","ștergeți opțiune personalizare"
"Sort Custom Options","Sortați opțiuni personalizare"
"Input Type","Tip input"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Sort Custom Option","Sortați opțiuni personalizare"
"Item Price","Preț articol"
"Action","Acțiune"
"and above","si deasupra"
"Delete Tier","ștergeți nivel"
"Product In Websites","Produsul în website-uri"
"(Copy data from: %1)","(Copiați informații din: %1)"
"Browse to find or drag image here","Răsfoire pentru a găsi sau glisează imaginea aici"
"Delete image","ștergeți imagine"
"Hidden","Ascuns"
"Alt Text","Alt Text"
"Role","Rol"
"Image Size","Image Size"
"{size}","{size}"
"Image Resolution","Image Resolution"
"{width}^{height} px","{width}^{height} px"
"Hide from Product Page","Ascundeți din pagina produsului"
"Allow Multiple Boxes for Shipping","Allow Multiple Boxes for Shipping"
"start typing to search attribute","Incepeți să tastați pentru căutare atribut"
"Basic Settings","Setări de bază"
"Advanced Settings","Setări avansate"
"Changes have been made to this section that have not been saved.","Au fost făcute modificări la această sectiune care nu au fost salvate."
"This tab contains invalid data. Please resolve this before saving.","Această filă conține informații nevalide. Corectați înainte de a salva."
"Mass Actions","Acțiuni în masă"
"Select All","Selectare toate"
"Unselect All","Deselectați toate"
"Select Visible","Selectați vizibile"
"Unselect Visible","Deselectați vizibile"
"Special Price","Preț redus"
"Regular Price","Preț normal"
"Buy %1 for: ","Buy %1 for: "
"Buy %1 for %2 each and <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>","Cumpărați %1 cu %2 fiecare și <strong class=""benefit"">save<span class=""percent tier-%3"">&nbsp;%4</span>%</strong>"
"Buy %1 for %2 each","Cumpărați %1 cu %2 fiecare"
"You added product %1 to the <a href=""%2"">comparison list</a>.","You added product %1 to the <a href=""%2"">comparison list</a>."
"Shop By","Filtreaza dupa"
"Shopping Options","Opțiuni cumpărare"
"Compare Products","Comparați produse"
"Print This Page","Imprimați imaginea"
"Remove Product","ștergeți produs"
"Add to Cart","Adăugați in coș"
"In stock","In stoc"
"Out of stock","Stoc epuizat"
"Add to Wish List","Lista de Dorințe"
"You have no items to compare.","Nu există produse adăugate pentru comparare."
"Remove This Item","Eliminați acest articol"
"Compare","Comparați"
"Clear All","Anulați toate filtrele"
"Prev","Previzualizare"
"Next","Următorul"
"We can't find products matching the selection.","Nu se pot găsi produse care să coincidă cu selecția."
"Learn More","Mai multe"
"Add to Compare","Adaugă pentru comparare"
"We found other products you might like!","Am găsit alte produse care v-ar plăcea!"
"More Choices:","Mai multe opțiuni:"
"Check items to add to the cart or","Verificare articole pentru a le adăuga la coș sau"
"select all","selectare toate"
"Items %1-%2 of %3","Articolele %1-%2 din %3"
"%1 Item","%1 articol"
"%1 Items","%1 Articole"
"Show","Arată"
"per page","pe pagină"
"Sort By","Sortați după"
"Set Ascending Direction","Setați ascendent"
"Set Descending Direction","Setați descendent"
"View as","Vizualizează ca"
"More Information","Mai multe informații"
"Maximum %1 characters","Maximum %1 characters"
"* Required Fields","* Campuri obligatorii"
"Availability","Disponibilitate"
"Selected Attributes\:","Selected Attributes\:"
"Warning message","Mesaj de avertisment"
"We don't recognize or support this file extension type.","Nu se recunoaște sau nu se acceptă acest tip de extensie fișier."
"Configure Product","Configurare produs"
"OK","OK"
"This value does not follow the specified format (for example, 200X300).","This value does not follow the specified format (for example, 200X300)."
"Select type of option.","Selectați tipul opțiunii."
"Please add rows to option.","Adăugați rânduri la opțiune."
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"Choose existing category.","Alegeți o categorie existentă."
"Image Detail","Detaliu Imagine"
"Adding...","Adding..."
"Added","Adăugat"
"remaining","remaining"
"too many","too many"
"does not implement Storage Interface","does not implement Storage Interface"
"unselect all","Deselectați toate"
"Inventory","Inverntar"
"Edit Product Design","Edit Product Design"
"Edit Category Design","Edit Category Design"
"Catalog Section","Catalog Section"
"Small","Mic"
"Main","Principal"
"Custom image","Imagine personalizată"
"Date and Time","Date and Time"
"Advanced","Avansat"
"Product Fields Auto-Generation","Auto-generare domenii produse"
"Mask for SKU","Mască pentru unitatea de înmagazinare"
"Use {{name}} as Product Name placeholder","Utilizați {{name}} ca înlocuitor pentru Nume Produs"
"Mask for Meta Title","Mască pentru MetaTitlu"
"Mask for Meta Keywords","Mască pentru MetaCuvinte-Cheie"
"Use {{name}} as Product Name or {{sku}} as Product SKU placeholders","Utilizați {{name}} ca Nume Produs sau {{sku}} ca înlocuitori pentru unitatea de înmagazinare a produsului."
"Mask for Meta Description","Mască pentru Meta Descriere"
"Use {{name}} and {{description}} as Product Name and Product Description placeholders","Utilizați {{name}} și {{description}} ca înlocuitori pentru Nume Produs și Descriere Produs."
"Recently Viewed/Compared Products","Produse recent vizualizate/comparate"
"Lifetime of products in Recently Viewed Widget","Lifetime of products in Recently Viewed Widget"
"Lifetime of products in Recently Compared Widget","Lifetime of products in Recently Compared Widget"
"Synchronize widget products with backend storage","Synchronize widget products with backend storage"
"Storefront","Vitrină"
"List Mode","Mod listă"
"Products per Page on Grid Allowed Values","Produse pe Pagină în Grila de Valori Permise"
"Comma-separated.","Separate prin Virgulă."
"Products per Page on Grid Default Value","Produse pe Pagină în Grila de Valori Implicite"
"Must be in the allowed values list.","Must be in the allowed values list."
"Products per Page on List Allowed Values","Produse pe Pagină în Lista de Valori Permise"
"Products per Page on List Default Value","Produse pe Pagină în Lista de Valori Implicite"
"Use Flat Catalog Category","Utilizați Plan Categorie Catalog"
"Use Flat Catalog Product","Utilizați Plan Produs Catalog"
"Product Listing Sort by","Ordonare Produse după"
"Applies to category pages.","Applies to category pages."
"Allow All Products per Page","Permiteți afișarea tuturor produselor pe pagină"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Whether to show ""All"" option in the ""Show X Per Page"" dropdown."
"Remember Category Pagination","Remember Category Pagination"
"Changing may affect SEO and cache storage consumption.","Changing may affect SEO and cache storage consumption."
"Product Image Placeholders","înlocuitori Imagine Produs"
"Search Engine Optimization","Optimizare motor de căutare"
"Page Title Separator","Separator Titlu Pagină"
"Use Canonical Link Meta Tag For Categories","Utilizați Meta Etichetă Link Canonic prentru Categorii"
"Use Canonical Link Meta Tag For Products","Utilizați Meta Etichetă Link Canonic prentru Produse"
"Catalog Price Scope","Domeniu Preț Catalog"
"This defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Acesta definește domeniul monedei de bază (""Setări Monedă"" > ""Opțiuni Monedă"" > ""Monedă de Bază"")."
"Display Category Filter","Display Category Filter"
"Category Top Navigation","Navigare Top Categorie"
"Maximal Depth","Aprofundare maximală"
"Date & Time Custom Options","Opțiuni personalizate Dată și Oră"
"Use JavaScript Calendar","Utilizați Calendar JavaScript"
"Date Fields Order","Ordine câmpuri dată"
"Time Format","Format dată"
"Year Range","Interval Ani"
"Please use a four-digit year format.","Folisiți un format de an de 4 cifre"
"Use Static URLs for Media Content in WYSIWYG","Use Static URLs for Media Content in WYSIWYG"
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.","Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes."
"Top Level Category","Categorie de nivel superior"
"Default Layouts","Default Layouts"
"Default Product Layout","Default Product Layout"
"Default Category Layout","Default Category Layout"
"Catalog media URL format","Catalog media URL format"
"Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>.","Images should be optimized based on query parameters by your CDN or web server. Use the legacy mode for backward compatibility. <a href=""https://docs.magento.com/user-guide/configuration/general/web.html#url-options"">Learn more</a> about catalog URL formats.<br/><br/><strong style=""color:red"">Warning!</strong> If you switch back to legacy mode, you must <a href=""https://devdocs.magento.com/guides/v2.4/frontend-dev-guide/themes/theme-images.html#resize-catalog-images"">use the CLI to regenerate images</a>."
"System","Sistem"
"Images Upload Configuration","Images Upload Configuration"
"Quality","Quality"
"Jpeg quality for resized images 1-100%.","Jpeg quality for resized images 1-100%."
"Product Info Column","Product Info Column"
"Block after Info Column","Block after Info Column"
"Product Flat Data","Plan informații produs"
"Reorganize EAV product structure to flat structure","Reorganizați structura produsului EAV pentru planul de structură"
"Category Flat Data","Plan informații catalog"
"Reorganize EAV category structure to flat structure","Reorganizați structura categoriei EAV pentru planul de structură"
"Category Products","Categorii de produse"
"Indexed category/products association","Asociere produse/categorie indexate."
"Product Categories","Categorii produse"
"Indexed product/categories association","Asociere produs/categorie indexat."
"Product Price","Preț produs"
"Index product prices","Index prețuri produs"
"Product EAV","Produs EAV"
"Index product EAV","Index produs EAV"
"Catalog New Products List","Listă produse noi catalog"
"List of Products that are set as New","Listă produse setate ca Noi"
"Display Type","Tip afișare"
"All products - recently added products, New products - products marked as new","Toate produsele - produse recent adăugate, Produse noi - produse marcate ca noi"
"All products","Toate produsele"
"New products","Produse noi"
"Display Page Control","Control pagină afișare"
"Number of Products per Page","Număr de produse pe pagină"
"Number of Products to Display","Număr de produse de afișat"
"Template","șablon"
"New Products Grid Template","șablon Grilă Produse Noi"
"New Products List Template","șablon Listă Produse Noi"
"New Products Images and Names Template","șablon Nume și Imagini Produse Noi"
"New Products Names Only Template","șablon Numai Nume Produse Noi"
"New Products Images Only Template","șablon Numai Imagini Produse Noi"
"Cache Lifetime (Seconds)","Termen Cache (Secunde)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
"Catalog Product Link","Link Produs Catalog"
"Link to a Specified Product","Link către Produsul Specificat"
"Select Product...","Selectați Produs..."
"Anchor Custom Text","Text personalizat fix"
"If empty, we'll use the product name here.","Dacă nu este completat, vom folosi aici numele produsului."
"Anchor Custom Title","Titlu personalizat fix"
"Product Link Block Template","șablon bloc link produs"
"Product Link Inline Template","șablon inline link produs"
"Catalog Category Link","Link categorie catalog"
"Link to a Specified Category","Link către o categorie specificată"
"Select Category...","Selectați Categorie..."
"If empty, we'll use the category name here.","Dacă nu este completat, vom folosi aici numele categoriei."
"Category Link Block Template","șablon bloc link categorie"
"Category Link Inline Template","șablon inline link categorie"
"Recently Viewed Products","Produse vizualizate recent"
"List of Products Recently Viewed by Visitor","Listă de produse vizualizate recent de cître vizitator"
"UI Component","UI Component"
"Number of Products to display","Număr de produse pentru afișare"
"Product attributes to show","Product attributes to show"
"Image","Imagine"
"Learn More Link","Learn More Link"
"Buttons to show","Buttons to show"
"Add to Wishlist","Add to Wishlist"
"Viewed Products Grid Template","șablon grilă produse vizualizate"
"Viewed Products List Template","șablon listă produse vizualizate"
"Viewed Products Sidebar Template","Viewed Products Sidebar Template"
"Recently Compared Products","Produse comparate recent"
"List of Products Recently Compared by Visitor","List of Products Recently Compared by Visitor"
"Compared Products Grid Template","șablon Grilă produse Comparate"
"Compared Products List Template","șablon Listă produse Comparate"
"Set","Setați"
"Category Information","Category Information"
"Enable Category","Enable Category"
"Include in Menu","Include in Menu"
"Content","Conținut"
"Category Image","Category Image"
"Description","Descriere"
"Add CMS Block","Add CMS Block"
"Display Settings","Display Settings"
"Display Mode","Display Mode"
"Anchor","Anchor"
"Available Product Listing Sort By","Available Product Listing Sort By"
"Use All","Use All"
"Default Product Listing Sort By","Default Product Listing Sort By"
"Layered Navigation Price Step","Layered Navigation Price Step"
"URL Key","Cheie URL"
"Meta Title","Meta Title"
"Meta Keywords","Meta cuvinte"
"Meta Description","Meta Descriere"
"Products in Category","Products in Category"
"Design","Design"
"Theme","Temă"
"Layout","Aspect"
"Layout Update XML","Actualizare XML pagină"
"Custom Layout Update","Custom Layout Update"
"Apply Design to Products","Apply Design to Products"
"Schedule Design Update","Schedule Design Update"
"AttributeSetText","AttributeSetText"
"StatusText","StatusText"
"Product Image Watermarks","Suprapuneri imagini produs"
"Base","Base"
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Image Opacity","Image Opacity"
"Example format: 200x300.","Example format: 200x300."
"Image Position","Image Position"
"Attribute Properties","Proprietăți atribut"
"Attribute Label","Etichetă atribut"
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"Catalog Input Type for Store Owner","Tip input catalog pentru proprietarul magazinului"
"Values","Values"
"Add this attribute to the list of column options in the product grid.","Add this attribute to the list of column options in the product grid."
"Add this attribute to the list of filter options in the product grid.","Add this attribute to the list of filter options in the product grid."
"All Store Views","Toate vizualizările de magazin"
"Delete selected items?","ștergeți articolele selectate?"
"Delete items","ștergeți articole"
"Change status","Modificați status"
"Enable","Activați"
"Disable","Dezactivați"
"Update attributes","Actualizare atribute"
"Overview","Prezentare generală"
"Skip to the end of the images gallery","Skip to the end of the images gallery"
"Skip to the beginning of the images gallery","Skip to the beginning of the images gallery"
"Details","Detalii"
"Recently Compared","Recent comparate"
"Add To Cart","Add To Cart"
"Add To Compare","Add To Compare"
"Learn more","Learn more"
"Recently Viewed","Visto Recentemente"
