"Sign Out","Log ud"
"Subscribe to Newsletter","Tilmeld nyhedsbrev"
"Are you sure to unsubscribe selected customers from newsletter?","Are you sure to unsubscribe selected customers from newsletter?"
"Unsubscribe from Newsletter","Afmeld nyhedsbrev"
"Phone","Telefon"
"ZIP","Postnr."
"Customer Since","Kunde siden"
"Confirmed email","Bekræftet e-mail"
"Account Created in","Konto oprettet i"
"Tax VAT Number","CVR nummer"
"Billing Firstname","Faktureringsfornavn"
"Billing Lastname","Faktureringsefternavn"
"Account Lock","Account Lock"
"First Name","Fornavn"
"Last Name","Efternavn"
"Last Activity","Sidste aktivitet"
"Type","Type"
"Customer Information","Kundeoplysninger"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send velkomst e-mail fra"
"Are you sure you want to delete this item?","Are you sure you want to delete this item?"
"Addresses","Adresser"
"Account Dashboard","Betjeningspanel"
"Edit Account Information","Rediger kontooplysninger"
"Password forgotten","Glemt adgangskode"
"My Dashboard","Mit betjeningspanel"
"You are signed out","Du er logget ud"
"You subscribe to our newsletter.","Du er nu tilmeldt vores nyhedsbrev."
"You don't subscribe to our newsletter.","Du er ikke tilmeldt vores nyhedsbrev."
"Maximum length must be less then %1 symbols","Maksimumlængden skal være kortere end %1 tegn"
"Invalid input","Ugyldig indput"
"Confirm your new password.","Bekræft din nye adgangskode."
"Something went wrong while changing the password.","Noget gik galt under ændringen af kodeordet."
"Please enter the first name.","Angiv fornavn."
"Please enter the last name.","Angiv efternavnet."
"Please enter the street.","Angiv gaden."
"Please enter the city.","Indtast byen."
"Please enter the phone number.","Angiv telefonnummeret."
"Please enter the zip/postal code.","Angiv postnummeret."
"Please enter the country.","Angiv land."
"Please enter a first name.","Indtast et fornavn."
"Please enter a last name.","Indtast et efternavn."
"Please correct this email address: ""%1"".","Ret venligst denne e-mail-adresse: ""%1""."
"Please enter a date of birth.","Please enter a date of birth."
"Please enter a TAX/VAT number.","Angiv et CVR-nummer."
"Please enter a gender.","Indtast køn."
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' ligner en DNS-værtsnavn, men vi kan ikke matche TLD mod kendte liste."
"You subscribe to ""General Subscription"".","You subscribe to ""General Subscription""."
"Submit","Send"
"Login","Log ind"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Checkout out as a new customer","Gennemfører betalingsprocessen som en ny kunde"
"Create Account","Create Account"
"Checkout out using your account","Logind og bestil"
"Recovery Link Expiration Period (days)","Recovery Link Expiration Period (days)"
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Last Logged In","Sidst logget ind"
"If your Magento site has multiple views, you can set the scope to apply to a specific view.","If your Magento site has multiple views, you can set the scope to apply to a specific view."
"You are signed out.","Du er logget ud."
"Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2.","Invalid value of ""%value"" provided for the %fieldName field. Possible values are %template1 or %template2."
"Could not authenticate. Please try again later","Could not authenticate. Please try again later"
"Page not found","Page not found"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Text","Tekst"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"The account is locked. Please wait and try again or contact %1.","Kontoen er låst. Vent, og prøv igen, eller kontakt %1."
"Provided Zip/Postal Code seems to be invalid.","Postnummer er ugyldigt."
" Example: "," Eksempel: "
"If you believe it is the right one you can ignore this notice.","Hvis du mener det er korrekt, kan du ignorere denne meddelelse."
"Invalid Form Key. Please refresh the page.","Siden er udløbet og skal opdateres."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"The password doesn't match this account. Verify the password and try again.","The password doesn't match this account. Verify the password and try again."
"The email address is incorrect. Verify the email address and try again.","The email address is incorrect. Verify the email address and try again."
"The customer ID isn't defined.","The customer ID isn't defined."
"The quote items are incorrect. Verify the quote items and try again.","The quote items are incorrect. Verify the quote items and try again."
"The ""%1"" section source isn't supported.","The ""%1"" section source isn't supported."
"Confirmation isn't needed.","Confirmation isn't needed."
"The account is already active.","The account is already active."
"The confirmation token is invalid. Verify the token and try again.","The confirmation token is invalid. Verify the token and try again."
"This account isn't confirmed. Verify and try again.","This account isn't confirmed. Verify and try again."
"The password needs at least %1 characters. Create a new password and try again.","The password needs at least %1 characters. Create a new password and try again."
"The password can't begin or end with a space. Verify the password and try again.","The password can't begin or end with a space. Verify the password and try again."
"The password can't be the same as the email address. Create a new password and try again.","The password can't be the same as the email address. Create a new password and try again."
"The store view is not in the associated website.","The store view is not in the associated website."
"A customer with the same email address already exists in an associated website.","A customer with the same email address already exists in an associated website."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" is required. Enter and try again."
"The password token is mismatched. Reset and try again.","The password token is mismatched. Reset and try again."
"The password token is expired. Reset and try again.","The password token is expired. Reset and try again."
"The transactional account email type is incorrect. Verify and try again.","The transactional account email type is incorrect. Verify and try again."
"A valid password reset token is missing. Enter and try again.","A valid password reset token is missing. Enter and try again."
"The customer email is missing. Enter and try again.","The customer email is missing. Enter and try again."
"A customer website ID wasn't specified. The ID must be specified to use the website scope.","A customer website ID wasn't specified. The ID must be specified to use the website scope."
"""regionId"" is required. Enter and try again.","""regionId"" is required. Enter and try again."
"Delete %1","Slet %1"
"Are you sure you want to delete a %1 record?","Er du sikker på du vil slette en %1 post?"
"Customer not logged in","Customer not logged in"
"There is no address id in setting default billing address.","There is no address id in setting default billing address."
"Default billing address has been changed.","Default billing address has been changed."
"We can't change default billing address right now.","We can't change default billing address right now."
"There is no address id in setting default shipping address.","There is no address id in setting default shipping address."
"Default shipping address has been changed.","Default shipping address has been changed."
"We can't change default shipping address right now.","We can't change default shipping address right now."
"A total of %1 record(s) have been deleted.","I alt %1 post(er) er blevet slettet."
"There is no such address entity to delete.","There is no such address entity to delete."
"We can't mass delete the addresses right now.","We can't mass delete the addresses right now."
"Customer address has been updated.","Customer address has been updated."
"New customer address has been added.","New customer address has been added."
"There is no customer with such id.","There is no customer with such id."
"We can't change customer address right now.","We can't change customer address right now."
"Street","Adresse"
"Set as default billing","Set as default billing"
"Set address as default billing","Set address as default billing"
"Are you sure you want to set the address as default billing address?","Are you sure you want to set the address as default billing address?"
"Set as default shipping","Set as default shipping"
"Set address as default shipping","Set address as default shipping"
"Are you sure you want to set the address as default shipping address?","Are you sure you want to set the address as default shipping address?"
"Delete address","Delete address"
"Are you sure you want to delete the address?","Are you sure you want to delete the address?"
"Additional addresses","Additional addresses"
"State","Stat"
"Actions","Handlinger"
"Sorry, there has been an error processing your request. Please try again later.","Desværre, der er sket en fejl under behandling af din anmodning. Prøv igen senere."
"Reset password","Reset password"
"Invalidate tokens","Invalidate tokens"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Mellemnavn/initialer"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
