"Sign Out","Odjavi se"
"This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Email Sender","Email Sender"
"Require Emails Confirmation","Zahtevaj Potvrdu Mejla"
"Confirmation Link Email","Link za Potvrdu Emaila"
"Welcome Email","Email Dobrodošlice"
"This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.","This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected."
"Generate Human-Friendly Customer ID","Generate Human-Friendly Customer ID"
"Password Options","Izbori lozinke"
"Forgot Email Template","Zaboravljeni predložak Emaila"
"Remind Email Template","Zaboravljeni predložak Emaila"
"Reset Password Template","Predložak za Resetovanje Password-a"
"Password Template Email Sender","Password Template Email Sender"
"Recovery Link Expiration Period (hours)","Vreme isteka linka za oporavak (sati)"
"Please enter a number 1 or greater in this field.","U ovo polje unesite broj 1 ili veći."
"Number of Required Character Classes","Number of Required Character Classes"
"Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters.","Number of different character classes required in password: Lowercase, Uppercase, Digits, Special Characters."
"Minimum Password Length","Minimum Password Length"
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"Use 0 to disable account locking.","Use 0 to disable account locking."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Account will be unlocked after provided time.","Account will be unlocked after provided time."
"Enable Autocomplete on login/forgot password forms","Enable Autocomplete on login/forgot password forms"
"Account Information Options","Account Information Options"
"Change Email Template","Change Email Template"
"Change Email and Password Template","Change Email and Password Template"
"Name and Address Options","Name and Address Options"
"Number of Lines in a Street Address","Number of Lines in a Street Address"
"Valid range: 1-4","Valid range: 1-4"
"Show Prefix","Show Prefix"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"Prefix Dropdown Options","Prefix Dropdown Options"
"Semicolon (;) separated values.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Leave empty for open text field."
"Show Middle Name (initial)","Show Middle Name (initial)"
"Always optional.","Always optional."
"Show Suffix","Show Suffix"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"Suffix Dropdown Options","Suffix Dropdown Options"
"Show Date of Birth","Show Date of Birth"
"Show Tax/VAT Number","Show Tax/VAT Number"
"Show Gender","Show Gender"
"Show Telephone","Show Telephone"
"Show Company","Show Company"
"Show Fax","Show Fax"
"Login Options","Login Options"
"Redirect Customer to Account Dashboard after Logging in","Redirect Customer to Account Dashboard after Logging in"
"Customer will stay on the current page if ""No"" is selected.","Customer will stay on the current page if ""No"" is selected."
"Address Templates","Address Templates"
"Text","Text"
"Text One Line","Text One Line"
"HTML","HTML"
"PDF","PDF"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Customer Data Lifetime","Customer Data Lifetime"
"Please specify value in minutes.","Please specify value in minutes."
"Customer Notification","Customer Notification"
"Assign a Customer Group","Assign a Customer Group"
"Are you sure to assign selected customers to new group?","Are you sure to assign selected customers to new group?"
"Customer Grid","Customer Grid"
"Rebuild Customer grid index","Rebuild Customer grid index"
"Update Address","Update Address"
"Name Prefix","Name Prefix"
"Name Suffix","Name Suffix"
"Middle Name/Initial","Middle Name/Initial"
"State/Province","State/Province"
"VAT Number","PDV broj"
"Are you sure to delete selected address?","Are you sure to delete selected address?"
"Delete items","Delete items"
"Group","Group"
"Add New Customer","Add New Customer"
"Are you sure you want to delete the selected customers?","Are you sure you want to delete the selected customers?"
"Subscribe to Newsletter","Subscribe to Newsletter"
"Are you sure you want to unsubscribe the selected customers from the newsletter?","Are you sure you want to unsubscribe the selected customers from the newsletter?"
"Unsubscribe from Newsletter","Unsubscribe from Newsletter"
"ZIP","ZIP"
"Customer Since","Customer Since"
"Confirmed email","Confirmed email"
"Account Created in","Account Created in"
"Tax VAT Number","Tax VAT Number"
"Gender","Gender"
"Billing Firstname","Billing Firstname"
"Billing Lastname","Prezime za Naplatu"
"Account Lock","Account Lock"
"Last Activity","Last Activity"
"Type","Tip"
"Customer Information","Customer Information"
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.","If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site."
"Disable Automatic Group Change Based on VAT ID","Disable Automatic Group Change Based on VAT ID"
"Send Welcome Email From","Send Welcome Email From"
"Addresses","Addresses"
"The customer does not have default billing address","The customer does not have default billing address"
"The customer does not have default shipping address","The customer does not have default shipping address"
"Add/Update Address","Add/Update Address"
"Edit Account Information","Edit Account Information"
"Password forgotten","Password forgotten"
"You are signed out","You are signed out"
