"Credit Memos","Gutschriften"
"Custom Price","Sonderpreis"
"Please select","Bitte wählen Sie"
"Move to Shopping Cart","In den Warenkorb verschieben"
"Move to Wish List","Auf die Wunschliste verschieben"
"Subscribe to Newsletter","Newsletter abonnieren"
"Click to change shipping method","Hier klicken, um die Versandsart zu ändern"
"Sorry, no quotes are available for this order.","Für diese Bestellung sind leider keine Angebote verfügbar."
"Get shipping methods and rates","Get shipping methods and rates"
"You don't need to select a shipping method.","Sie müssen keine Versandart auswählen."
"Customer's Activities","Aktivitäten des Kunden"
"Refresh","Aktualisieren"
"Item","Artikel"
"Add To Order","Keine Artikel"
"Configure and Add to Order","Konfigurieren und zur Bestellung hinzufügen"
"No items","Keine Elemente"
"Append Comments","Kommentare anfügen"
"Email Order Confirmation","E-Mail Bestellbestätigung"
"Grand Total Excl. Tax","Gesamtsumme zzgl. MwSt."
"Grand Total Incl. Tax","Gesamtsumme inkl. MwSt."
"Subtotal (Excl. Tax)","Zwischensumme (zzgl. Steuern)"
"Subtotal (Incl. Tax)","Zwischensumme (inkl. MwSt.)"
"Payment &amp; Shipping Method","Zahlungs- &amp; Versandart"
"Payment Information","Zahlungsinformation"
"The order was placed using %1.","Bestellung wurde in %1 aufgegeben."
"Shipping Information","Versandinformation"
"Items to Refund","Artikel die rückerstattet werden müssen"
"Return to Stock","Return to Stock"
"Qty to Refund","Qty to Refund"
"Tax Amount","Steuerbetrag"
"Discount Amount","Rabattbetrag"
"Row Total","Pos. Zwischensumme"
"No Items To Refund","No Items To Refund"
"Credit Memo Comments","Kommentare zur Gutschrift"
"Refund Totals","Refund Totals"
"Email Copy of Credit Memo","E-Mail Kopie der Gutschrift"
"Please enter a positive number in this field.","Please enter a positive number in this field."
"Items Refunded","Items Refunded"
"No Items","Keine Artikel"
"Memo Total","Memo Total"
"Credit Memo History","Gutschrift Vorgeschichte"
"Credit Memo Totals","Gutschriftsumme"
"Customer Name: %1","Kundenname: %1"
"Purchased From: %1","Bestellt in: %1"
"Gift Message","Geschenknachricht"
"From:","Von:"
"To:","Bis:"
"Message:","Nachricht:"
"Shipping &amp; Handling","Versand & Bearbeitung"
"Gift Options","Geschenkoptionen"
"Create Shipment","Lieferung erstellen"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice."
"%1","%1"
"Qty to Invoice","Zu berechnende Menge"
"Invoice History","Rechnungsverlauf"
"Invoice Comments","Kommentare zur Rechnung"
"Invoice Totals","Rechnungssummen"
"Amount","Betrag"
"Capture Online","Capture Online"
"Capture Offline","Capture Offline"
"Not Capture","Nicht erfassen"
"The invoice will be created offline without the payment gateway.","Die Rechnung wird ohne die Zahlungs-Gateway offline erstellt werden."
"Email Copy of Invoice","E-Mail Kopie der Rechnung"
"Items Invoiced","In Rechnung gestellte Artikel"
"Total Tax","Gesamtbetrag Steuern"
"From Name","From Name"
"To Name","To Name"
"Status","Status"
"Comment","Kommentar"
"Notification Not Applicable","Benachrichtigung nicht zutreffend"
"Order & Account Information","Bestellung & Kontoinformationen"
"The order confirmation email was sent","Die Bestellbestätigungs E-Mail wurde gesendet"
"The order confirmation email is not sent","Die Bestellbestätigungs E-Mail wird nicht gesendet"
"Order Date","Bestelldatum"
"Order Date (%1)","Bestelldatum (%1)"
"Purchased From","Bestellt in"
"Link to the New Order","Link zu der neuen Bestellung"
"Link to the Previous Order","Link zu der vorherigen Bestellung"
"Placed from IP","Erstellt über IP"
"%1 / %2 rate:","%1 / %2 Rate:"
"Edit Customer","Kunden bearbeiten"
"Customer Name","Kundenname"
"Customer Group","Kundengruppe"
"Notes for this Order","Notizen für diese Bestellung"
"Comment added","Kommentar hinzugefügt"
"Transaction Data","Transaction Data"
"Transaction ID","Transaktions ID"
"Parent Transaction ID","Parent Transaction ID"
"Order ID","Bestellnummer"
"Transaction Type","Transaktionstyp"
"Is Closed","Is Closed"
"Created At","Erstellt am"
"Child Transactions","Child Transactions"
"Transaction Details","Transaktionsdetails"
"Items","Artikel"
"Gift Message for this Order","Geschenknachricht für diese Bestellung"
"Shipped By","Versendet von"
"Tracking Number","Trackingnummer"
"Billing Last Name","Rechnung Nachname"
"Find Order By","Finde Bestellung durch"
"ZIP Code","Postleitzahl"
"Billing ZIP Code","Rechnung PLZ"
"Continue","Fortsetzen"
"Print All Refunds","Alle Rückerstattungen drucken"
"Refund #","Refund #"
"Print Refund","Print Refund"
"Product Name","Artikelname"
"Order #","Bestellung #"
"Date","Datum"
"Ship To","Verschicken an"
"Actions","Aktionen"
"View Order","Bestellung ansehen"
"You have placed no orders.","Sie haben noch keine Bestellungen aufgegeben."
"No shipping information available","Keine Versandinformationen verfügbar"
"Print Order","Bestellung drucken"
"Print All Invoices","Print All Invoices"
"Invoice #","Rechnung #"
"Print Invoice","Rechnung drucken"
"Qty Invoiced","Menge in Rechnung gestellt"
"Close","Schließen"
"About Your Order","Über Ihre Bestellung"
"<span class=""label"">Order Date:</span> %1","<span class=""label"">Bestelldatum:</span> %1"
"Refund #%1","Refund #%1"
"Shipment #%1","Shipment #%1"
"Qty Shipped","Versandte Menge"
"Recent Orders","Letzte Bestellungen"
"View All","Alle anzeigen"
"Gift Message for This Order","Geschenknachricht für diese Bestellung"
"Recently Ordered","Zuletzt bestellt"
"Add to Cart","In den Warenkorb"
"Search","Suche"
"Credit memo for your %store_name order","Gutschrift für Ihre %store_name Bestellung"
"%name,","%name,"
"Thank you for your order from %store_name.","Vielen Dank für Ihre Bestellung bei %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Sie können den Status Ihrer Bestellung überprüfen, indem Sie sich bei <a href=""%account_url"">Ihrem Konto anmelden</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Wenn Sie fragen bezüglich Ihrer Bestellung haben, können Sie uns über die E-Mail-Adresse <a href=""mailto:%store_email"">%store_email</a> kontaktieren"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","oder rufen Sie uns unter <a href=""tel:%store_phone"">%store_phone</a> an"
"Our hours are <span class=""no-link"">%store_hours</span>.","Our hours are <span class=""no-link"">%store_hours</span>."
"Your Credit Memo #%creditmemo_id for Order #%order_id","Ihre Gutschrift #%creditmemo_id für die Bestellung #%order_id"
"Billing Info","Zahlungsinformationen"
"Shipping Info","Versandinformationen"
"Update to your %store_name credit memo","Aktualisierung für Ihre %store_name Gutschrift"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Ihre Bestellung #%increment_id wurde aktualisiert und der neue Status ist <strong>%order_status</strong>."
"Invoice for your %store_name order","Rechnung für Ihre %store_name Bestellung"
"Your Invoice #%invoice_id for Order #%order_id","Ihre Rechnung #%invoice_id für die Bestellung #%order_id"
"Update to your %store_name invoice","Aktualisierung für Ihre %store_name Rechnung"
"Your %store_name order confirmation","Ihre %store_name Bestellbestätigung"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Sobald Ihr Paket versendet wurde senden wir Ihnen eine Nummer zur Paketverfolgung."
"Your Order <span class=""no-link"">#%increment_id</span>","Ihre Bestellung <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","In Auftrag gegeben am <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Sobald Ihr Paket verschickt wurde, senden wir Ihnen den Link zur Sendungsverfolgung per E-Mail."
"Update to your %store_name order","Aktualisierung für Ihre %store_name Bestellung"
"Your %store_name order has shipped","Ihre %store_name Bestellung wurde versandt"
"Your shipping confirmation is below. Thank you again for your business.","Ihre Versandbestätigung sehen sie unten. Vielen Dank für Ihre Bestellung."
"Your Shipment #%shipment_id for Order #%order_id","Ihr Paket #%shipment_id für die Bestellung #%order_id"
"Update to your %store_name shipment","Aktualisierung für Ihre %store_name Sendung"
"Gift Options for ","Geschenkoptionen für "
"Add Products","Artikel hinzufügen"
"You have item changes","You have item changes"
"Ok","Akzeptiert"
"Operations","Aktionen"
"Create","Anlegen"
"Send Order Email","Bestell-E-Mail versenden"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","Allgemein"
"Hide Customer IP","IP-Adresse des Kunden verstecken"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos."
"Checkout Totals Sort Order","Checkout Totals Sort Order"
"Allow Reorder","Allow Reorder"
"Invoice and Packing Slip Design","Invoice and Packing Slip Design"
"Logo for PDF Print-outs (200x50)","Logo für PDF-Ausdrucke (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Ihr Standardlogo wird in PDF- und HTML-Dokumenten verwendet.<br />(jpeg, tiff, png) Sollten Verzerrungen im PDF-Dokument auftreten, versuchen Sie bitte ein größeres Bild zu verwenden."
"Logo for HTML Print View","Logo for HTML Print View"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo ausschließlich für HTML-Dokumente. Wenn leer, wird das Standardlogo verwendet.<br />(jpeg, gif, png)"
"Address","Adresse"
"Minimum Order Amount","Mindestbestellwert"
"Enable","Aktivieren"
"Minimum Amount","Mindestbetrag"
"Subtotal after discount","Zwischensumme nach Rabatt"
"Include Tax to Amount","Steuer in Betrag einbeziehen"
"Description Message","Beschreibungsnachricht"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Diese Meldung wird im Warenkorb angezeigt, wenn die Zwischensumme (nach Rabatt) niedriger ist als der minimal zulässige Betrag."
"Error to Show in Shopping Cart","Fehler, anzuzeigen im Warenkorb"
"Validate Each Address Separately in Multi-address Checkout","Validiere jede Adresse im Multi-Adress Checkout"
"Multi-address Description Message","Mehrfach-Adressen Beschreibungsnachricht"
"We'll use the default description above if you leave this empty.","Wir verwenden die obige Standardbeschreibung, wenn Sie diese leer lassen."
"Multi-address Error to Show in Shopping Cart","Mehrfach-Adressen Fehler, anzuzeigen im Warenkorb"
"We'll use the default error above if you leave this empty.","We'll use the default error above if you leave this empty."
"Dashboard","Übersicht"
"Use Aggregated Data","Aggregierte Daten verwenden"
"Orders Cron Settings","Cron Einstellungen Bestellungen"
"Pending Payment Order Lifetime (minutes)","Lebensdauer eines Auftrags mit ausstehender Zahlung (Minuten)"
"Sales Emails","Verkaufsemails"
"Asynchronous sending","Asynchronous sending"
"Enabled","Aktiviert"
"New Order Confirmation Email Sender","Neuer Bestellbestätigungs E-Mail Absender"
"New Order Confirmation Template","Neue Bestellbestätigungs E-Mail Vorlage"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Ausgewählte E-Mail-Vorlage basiert auf dem Fallback-Thema, wenn die Option ""Standard"" gewählt ist."
"New Order Confirmation Template for Guest","Neue Bestellbestätigungs E-Mail Vorlage für Gast"
"Send Order Email Copy To","Send Order Email Copy To"
"Comma-separated","Durch Kommata getrennt"
"Send Order Email Copy Method","Send Order Email Copy Method"
"Order Comment Email Sender","Order Comment Email Sender"
"Order Comment Email Template","Order Comment Email Template"
"Order Comment Email Template for Guest","Order Comment Email Template for Guest"
"Send Order Comment Email Copy To","Send Order Comment Email Copy To"
"Send Order Comments Email Copy Method","Sende Kommentare zur Bestellung in Kopie (Methode)"
"Invoice Email Sender","Invoice Email Sender"
"Invoice Email Template","Invoice Email Template"
"Invoice Email Template for Guest","Invoice Email Template for Guest"
"Send Invoice Email Copy To","Send Invoice Email Copy To"
"Send Invoice Email Copy Method","Send Invoice Email Copy Method"
"Invoice Comment Email Sender","Invoice Comment Email Sender"
"Invoice Comment Email Template","Invoice Comment Email Template"
"Invoice Comment Email Template for Guest","Invoice Comment Email Template for Guest"
"Send Invoice Comment Email Copy To","Send Invoice Comment Email Copy To"
"Send Invoice Comments Email Copy Method","Sende Kommentare zur Rechnung in Kopie (Methode)"
"Shipment","Versand"
"Shipment Email Sender","Shipment Email Sender"
"Shipment Email Template","Shipment Email Template"
"Shipment Email Template for Guest","Shipment Email Template for Guest"
"Send Shipment Email Copy To","Send Shipment Email Copy To"
"Send Shipment Email Copy Method","Send Shipment Email Copy Method"
"Shipment Comments","Kommentare zum Versand"
"Shipment Comment Email Sender","Shipment Comment Email Sender"
"Shipment Comment Email Template","Shipment Comment Email Template"
"Shipment Comment Email Template for Guest","Shipment Comment Email Template for Guest"
"Send Shipment Comment Email Copy To","Send Shipment Comment Email Copy To"
"Send Shipment Comments Email Copy Method","Sende Kommentare zum Versand in Kopie (Methode)"
"Credit Memo Email Sender","Credit Memo Email Sender"
"Credit Memo Email Template","Credit Memo Email Template"
"Credit Memo Email Template for Guest","Credit Memo Email Template for Guest"
"Send Credit Memo Email Copy To","Send Credit Memo Email Copy To"
"Send Credit Memo Email Copy Method","Send Credit Memo Email Copy Method"
"Credit Memo Comment Email Sender","Credit Memo Comment Email Sender"
"Credit Memo Comment Email Template","Credit Memo Comment Email Template"
"Credit Memo Comment Email Template for Guest","Credit Memo Comment Email Template for Guest"
"Send Credit Memo Comment Email Copy To","Send Credit Memo Comment Email Copy To"
"Send Credit Memo Comments Email Copy Method","Sende Kommentare zur Gutschrift in Kopie (Methode)"
"PDF Print-outs","PDF Ausdrucke"
"Display Order ID in Header","Bestellnummer im Kopfbereich anzeigen"
"Customer Order Status Notification","Statusbenachrichtigung für Kundenbestellung"
"Asynchronous indexing","Asynchrones indizieren"
"Orders and Returns Search Form","Bestellungen und Retouren Suchformular"
"Anchor Custom Title","Individueller Link-Text"
"Template","Vorlage"
"Default Template","Default Template"
"Name","Name"
"Phone","Telefonnummer"
"ZIP/Post Code","Postleitzahl"
"Signed-up Point","Signed-up Point"
"Website","Webseite"
"Bill-to Name","Rechnungsname"
"Created","Erstellt"
"Invoice Date","Rechnungsdatum"
"Ship-to Name","Versandname"
"Ship Date","Versanddatum"
"Total Quantity","Gesamtmenge"
"Default Status","Standard Status"
"State Code and Title","State Code and Title"
"Item Status","Item Status"
"Original Price","Originalpreis"
"Tax Percent","Tax Percent"
"All Store Views","Alle Store Views"
"PDF Credit Memos","PDF Gutschriften"
"Purchase Point","Verkaufsort"
"Print Invoices","Rechnungen drucken"
"Print Packing Slips","Print Packing Slips"
"Print Credit Memos","Gutschriften drucken"
"Print All","Alle drucken"
"Print Shipping Labels","Paketaufkleber drucken"
"Purchase Date","Kaufdatum"
"Grand Total (Base)","Gesamtsumme (Basis)"
"Grand Total (Purchased)","Gesamtsumme (Einkauf)"
"Customer Email","Customer Email"
"Shipping and Handling","Versand und Bearbeitung"
"PDF Invoices","PDF Rechnungen"
"PDF Shipments","PDF Lieferungen"
"PDF Creditmemos","PDF Gutschriften"
"Refunds","Rückerstattungen"
"Create New Order for New Customer in %1","Erstelle eine neue Bestellung für neuen Kunden in %1"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","The invoice and the shipment  have been created. The shipping label cannot be created now."
"We will authorize %1 after the payment is approved at the payment gateway.","We will authorize %1 after the payment is approved at the payment gateway."
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Order is suspended as its authorizing amount %1 is suspected to be fraudulent."
"An amount of %1 will be captured after being approved at the payment gateway.","An amount of %1 will be captured after being approved at the payment gateway."
"Captured amount of %1 online","Captured amount of %1 online"
"The order amount of %1 is pending approval on the payment gateway.","The order amount of %1 is pending approval on the payment gateway."
"Ordered amount of %1","Ordered amount of %1"
"Registered notification about captured amount of %1.","Registered notification about captured amount of %1."
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","Order is suspended as its capture amount %1 is suspected to be fraudulent."
"We found an invalid quantity to ship for item ""%1"".","We found an invalid quantity to ship for item ""%1""."
"order-header","order-header"
"Something went wrong","Es ist ein Fehler aufgetreten"
"Page not found.","Seite nicht gefunden."
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Invalid Form Key. Please refresh the page.","Ungültiger Formularschlüssel. Bitte aktualisieren Sie die Seite."
"Sample message.","Sample message."
"Limit per cron run","Limit per cron run"
"Grid Settings","Grid Settings"
"Use Aggregated Data (beta)","Aggregierte Daten nutzen (Beta)"
"Could not save the comment.","Der Kommentar konnte nicht gespeichert werden."
"Authorized amount of %1.","Autorisierungsbetrag in Höhe von %1."
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","Autorisierter Betrag von %1. Bestellung wurde zurückgestellt, da der autorisierte Betrag %1 als Betrugsversuch gewertet wurde."
"Captured amount of %1 online.","Erfasster Betrag von %1 online."
"Requested product doesn't exist","Angefordertes Produkt existiert nicht"
"Product is not salable.","Produkt ist nicht verkäuflich."
"Get available payment methods","Get available payment methods"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Include Discount Amount","Include Discount Amount"
"The comment is missing. Enter and try again.","The comment is missing. Enter and try again."
"The ""%1"" coupon code isn't valid. Verify the code and try again.","The ""%1"" coupon code isn't valid. Verify the code and try again."
"The quote item ID needs to be received. Set the ID and try again.","Die Wunsch Listen-Artikel-ID muss empfangen worden sein.
Bestimme die ID und versuche es erneut."
"The quote item needs to be loaded. Load the item and try again.","subject
"
"The invoice can't be created without products. Add products and try again.","The invoice can't be created without products. Add products and try again."
"The invoice can't be saved at this time. Please try again later.","The invoice can't be saved at this time. Please try again later."
"The shipping method is missing. Select the shipping method and try again.","Die Versandart ist nicht vorhanden. Bitte wählen Sie eine Versandart und versuchen Sie es erneut."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"An ID is needed. Set the ID and try again.","An ID is needed. Set the ID and try again."
"The entity that was requested doesn't exist. Verify the entity and try again.","The entity that was requested doesn't exist. Verify the entity and try again."
"The order address couldn't be deleted.","The order address couldn't be deleted."
"The order address couldn't be saved.","The order address couldn't be saved."
"The credit memo couldn't be deleted.","The credit memo couldn't be deleted."
"The credit memo couldn't be saved.","The credit memo couldn't be saved."
"The shipment couldn't be deleted.","Die Sendung konnte nicht gelöscht werden."
"The shipment couldn't be saved.","Die Sendung konnte nicht gelöscht werden."
"The last status can't be changed and needs to stay assigned to its current state.","The last status can't be changed and needs to stay assigned to its current state."
"The status can't be unassigned because the status is currently used by an order.","The status can't be unassigned because the status is currently used by an order."
"The status needs to remain assigned to its state.","The status needs to remain assigned to its state."
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
"The creditmemo contains incorrect product items.","The creditmemo contains incorrect product items."
"You can not refund shipping if there is no shipping amount.","You can not refund shipping if there is no shipping amount."
