"Credit Memos","Note credit"
"Row Subtotal","Subtotal rând"
"Action","Acțiune"
"No ordered items","Nici un articol comandat"
"Update Items and Quantities","Actualizare articole și cantități"
"Total %1 product(s)","Total %1 produse"
"Subtotal:","Subtotal:"
"Tier Pricing","Preț diferențiat"
"Custom Price","Preț standard"
"Please select","Selectați"
"Move to Shopping Cart","Mutați în coșul de cumpărături"
"Move to Wish List","Mutați în lista de dorințe"
"Subscribe to Newsletter","Abonați-vă la buletinul informativ"
"Click to change shipping method","Faceți click pentru a modifica modalitatea de livrare"
"Sorry, no quotes are available for this order.","Ne pare rău, nu există mențiuni pentru această comandă."
"Get shipping methods and rates","Obțineți modalități de plată și rate"
"You don't need to select a shipping method.","Nu este necesară selectarea unei modalități de livrare."
"Customer's Activities","Activitățile clientului"
"Refresh","Reîmprospătare"
"Item","Articol"
"Add To Order","Adăugați la comandă"
"Configure and Add to Order","Configurați și adăugați la comandă"
"No items","Nici un articol"
"Append Comments","Adăugați comentarii"
"Email Order Confirmation","Email de confirmare a comenzii"
"Grand Total Excl. Tax","Total general fără taxe incluse"
"Grand Total Incl. Tax","Total general cu taxe incluse"
"Subtotal (Excl. Tax)","Subtotal (fără taxe incluse)"
"Subtotal (Incl. Tax)","Subtotal (cu taxe incluse)"
"Payment &amp; Shipping Method","Plată &amp; Modalitate livrare"
"Payment Information","Informații plată"
"The order was placed using %1.","comanda a fost plasată utilizând %1."
"Shipping Information","Informații livrare"
"Items to Refund","Articole de restituit"
"Return to Stock","Retur la stoc"
"Qty to Refund","Cantitate de restituit"
"Tax Amount","Sumă taxă"
"Discount Amount","Sumă reducere"
"Row Total","Total rând"
"No Items To Refund","Nici un articol de restituit"
"Credit Memo Comments","Comentarii notă de credit"
"Refund Totals","Total restituiri"
"Email Copy of Credit Memo","Copie email a notei de credit"
"Please enter a positive number in this field.","Introduceți un număr pozitiv în acest câmp."
"Items Refunded","Articole restituite"
"No Items","Nici un articol"
"Memo Total","Total note"
"Credit Memo History","Istoric note de credit"
"Credit Memo Totals","Total note de credit"
"Customer Name: %1","Nume client: %1"
"Purchased From: %1","Achiziționat de la: %1"
"Gift Message","Mesaj-cadou"
"From:","De la:"
"To:","Către:"
"Message:","Mesaj:"
"Shipping &amp; Handling","Livrare &amp; Manipulare"
"Gift Options","Opțiuni cadou"
"Create Shipment","Creare livrare"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","Tipurile de factură și livrare nu coincid la anumite articole din această comandă. O livrare se creează după crearea facturii."
"%1","%1"
"Qty to Invoice","Cantitate de facturat."
"Invoice History","Istoric factură"
"Invoice Comments","Comentarii factură"
"Invoice Totals","Total factură"
"Amount","Sumă"
"Capture Online","Captură Online"
"Capture Offline","Captură Offline"
"Not Capture","Fără captură"
"The invoice will be created offline without the payment gateway.","Factura va fi creată offline fără gateway-ul plății."
"Email Copy of Invoice","Copie email a facturii"
"Items Invoiced","Articole facturate"
"Total Due","Total de plătit"
"Total Tax","Total Taxe"
"From Name","De la numele"
"To Name","Către numele"
"Status","Statut"
"Comment","Comentariu"
"Notification Not Applicable","Notificarea nu se aplică"
"Order & Account Information","Informații comandă și cont"
"The order confirmation email was sent","Email-ul de confirmare a comenzii a fost trimis"
"The order confirmation email is not sent","Email-ul de confirmare a comenzii nu a fost trimis"
"Order Date","Data comenzii"
"Order Date (%1)","Dată comandă (%1)"
"Purchased From","Achiziționat de la"
"Link to the New Order","Link la Comandă nouă"
"Link to the Previous Order","Link la Comanda anterioară"
"Placed from IP","Plasată de la IP-ul"
"%1 / %2 rate:","Rată %1 / %2 :"
"Edit Customer","Edit Customer"
"Customer Name","Nume client"
"Customer Group","Grup Clienți"
"Notes for this Order","Observații pentru această comandă"
"Comment added","comentariu adăugat"
"Transaction Data","Informații tranzacție"
"Transaction ID","ID tranzacție"
"Parent Transaction ID","ID principal tranzacție"
"Order ID","ID comandă"
"Transaction Type","Tip tranzacție"
"Is Closed","Este închis"
"Created At","Creat la"
"Child Transactions","Tranzacții secundare"
"Transaction Details","Detalii tranzacție"
"Items","Articole"
"Gift Message for this Order","Mesaj-cadou pentru această comandă"
"Shipped By","Livrat de către"
"Tracking Number","Număr de urmărire comandă"
"Billing Last Name","Nume facturare"
"Find Order By","Găsire comandă după"
"ZIP Code","Cod poștal"
"Billing ZIP Code","Cod poștal facturare"
"Continue","Continuați"
"Print All Refunds","Printați toate restituirile"
"Refund #","Restituire #"
"Print Refund","Printați restituirea"
"Product Name","Numele produsului"
"Order #","Comanda #"
"Date","Data"
"Actions","Actiuni"
"View Order","Vizualizează comanda"
"No shipping information available","Nu sunt disponibile informații despre livrare"
"Print Order","Printează comanda"
"Print All Invoices","Printează toate facturile"
"Invoice #","Factura #"
"Print Invoice","Printează factura"
"Qty Invoiced","Cantitatea facturată"
"Close","Închide."
"About Your Order","Despre comanda dumneavoastră"
"<span class=""label"">Order Date:</span> %1","<span class=""etichetă"">Dată comandă:</span> %1"
"Refund #%1","Restituire #%1"
"Shipment #%1","Livrare #%1"
"Qty Shipped","Cantitatea livrată"
"Recent Orders","Ultimele comenzi"
"View All","Vizualizează tot"
"Ship To","Livrați la"
"Gift Message for This Order","Mesaj-cadou pentru această comandă"
"Recently Ordered","Recently Ordered"
"Add to Cart","Adăugați in coș"
"Product is not salable.","Produsul nu este la vânzare."
"Search","Căutare"
"Credit memo for your %store_name order","Credit memo for your %store_name order"
"%name,","%name,"
"Thank you for your order from %store_name.","Vă mulțumim pentru comanda de la %store_name."
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puteți verifica statusul comenzii dumneavoastră prin <a href=""%account_url"">conectare la contul dumneavoastră</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Dacă aveți întrebări referitoare la comanda dumneavoastră, ne puteți trimite email la <a href=""mailto:%store_email"">%store_email</a>"
"Your Credit Memo #%creditmemo_id for Order #%order_id","Nota dumneavoastră de credit #%creditmemo_id pentru comanda #%order_id"
"Billing Info","Informații facturare"
"Update to your %store_name credit memo","Update to your %store_name credit memo"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","Comanda dumneavoastră #%increment_id a fost actualizată la statusul de <strong>%order_status</strong>."
"Invoice for your %store_name order","Invoice for your %store_name order"
"Your Invoice #%invoice_id for Order #%order_id","Factura dumneavoastră #%invoice_id pentru Comanda #%order_id"
"Update to your %store_name invoice","Update to your %store_name invoice"
"Your %store_name order confirmation","Your %store_name order confirmation"
"%customer_name,","%customer_name,"
"Once your package ships we will send you a tracking number.","Odată ce coletul este livrat, vă vom trimite numărul de urmărire al comenzii."
"Your Order <span class=""no-link"">#%increment_id</span>","Comanda dumneavoastră <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","Plasat la <span class=""no-link"">%created_at</span>"
"Once your package ships we will send an email with a link to track your order.","Odată ce coletul este livrat, vă vom trimite un email cu link-ul pentru urmărirea comenzii."
"Update to your %store_name order","Update to your %store_name order"
"Your %store_name order has shipped","Your %store_name order has shipped"
"Your shipping confirmation is below. Thank you again for your business.","Confirmarea dumneavoastră de livrare este mai jos. Vă mulțimim din nou pentru activitatea dumneavoastră."
"Your Shipment #%shipment_id for Order #%order_id","Livrarea dumneavoastră #%shipment_id pentru Comanda #%order_id"
"Update to your %store_name shipment","Update to your %store_name shipment"
"Please enter a coupon code!","Please enter a coupon code!"
"Gift Options for ","Gift Options for "
"Get available payment methods","Get available payment methods"
"Add Products","Adăugați produse"
"You have item changes","You have item changes"
"Ok","Ok"
"Operations","Operations"
"Create","Create"
"Send Order Email","Send Order Email"
"Accept or Deny Payment","Accept or Deny Payment"
"Send Sales Emails","Send Sales Emails"
"Sales Section","Sales Section"
"Sales Emails Section","Sales Emails Section"
"General","General"
"Hide Customer IP","Ascundeți IP-ul clientului"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","Alegeți dacă se afișează IP-ul clientului în comenzi, facturi, livrări și note de credit."
"Checkout Totals Sort Order","Sortare comandă Total Checkout-uri"
"Allow Reorder","Permiteți Comandare din nou"
"Allow Zero GrandTotal","Allow Zero GrandTotal"
"Allow Zero GrandTotal for Creditmemo","Allow Zero GrandTotal for Creditmemo"
"Invoice and Packing Slip Design","Design factură și ambalare"
"Logo for PDF Print-outs (200x50)","Logo pentru imprimări PDF (200x50)"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","Logo-ul dumneavoastră implicit va fi folosit în documente PDF și HTML.<br />(jpeg, tiff, png) Dacă imaginea pdf este distorsionată, încercați utilizarea unei imagini de o mărime mai mare."
"Logo for HTML Print View","Logo pentru vizualizare imprimare HTML"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","Logo numai pentru documente HTML. Dacă este gol, setările implicite vor fi utilizate.<br />(jpeg, gif, png)"
"Address","Adresa"
"Minimum Order Amount","Cantitate minimă comandă"
"Enable","Activați"
"Minimum Amount","Cantitate minimă"
"Subtotal after discount.","Subtotal after discount."
"Include Discount Amount","Include Discount Amount"
"Include Tax to Amount","Includeți taxele în sumă"
"Description Message","Mesaj de descriere"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","Acest mesaj va fi afișat în coșul de cumpărături atunci când subtotalul (după reducere) este mai mic decât cantitatea minimă admisă ."
"Error to Show in Shopping Cart","Eroare la afișarea în coșul de cumpărături"
"Validate Each Address Separately in Multi-address Checkout","Validați separat fiecare adresă în Checkout-ul cu Adrese multiple"
"Multi-address Description Message","Mesaj de descriere Adrese multiple"
"We'll use the default description above if you leave this empty.","Se va folosi descrierea implicită de mai sus dacă lăsați câmpul necompletat."
"Multi-address Error to Show in Shopping Cart","Eroare adresă multiplă de afișat în coșul de cumpărături"
"We'll use the default error above if you leave this empty.","Se va folosi eroarea implicită de mai sus dacă lăsați câmpul necompletat."
"Dashboard","Panou"
"Use Aggregated Data","Use Aggregated Data"
"Improves dashboard performance but provides non-realtime data.","Improves dashboard performance but provides non-realtime data."
"Orders Cron Settings","Setări Cron comenzi"
"Pending Payment Order Lifetime (minutes)","Plată în așteptare pentru termenul de comandă (minute)"
"Sales Emails","Email-uri vânzări"
"Asynchronous sending","Trimitere asincronă"
"Limit per cron run","Limit per cron run"
"Enabled","Activat"
"New Order Confirmation Email Sender","Experdiere Email de confirmare pentru Comandă nouă"
"New Order Confirmation Template","șablon confirmare pentru Comandă nouă"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"New Order Confirmation Template for Guest","șablon confirmare Comandă nouă pentru Vizitator"
"Send Order Email Copy To","Trimiteți copie email pentru comandă la"
"Comma-separated.","Separate prin Virgulă."
"Send Order Email Copy Method","Modalitate trimitere copie email de comandă."
"Order Comment Email Sender","Trimitere email comentariu comandă"
"Order Comment Email Template","șablon email comentariu comandă"
"Order Comment Email Template for Guest","șablon email comentariu comandă pentru Vizitator"
"Send Order Comment Email Copy To","Trimiteți copie email de comentariu comandă la"
"Send Order Comments Email Copy Method","Modalitate trimitere copie email de comentarii comandă."
"Invoice Email Sender","Trimitere email factură"
"Invoice Email Template","șablon email factură"
"Invoice Email Template for Guest","șablon email factură pentru vizitator"
"Send Invoice Email Copy To","Trimiteți copie email factură la"
"Send Invoice Email Copy Method","Modalitate trimitere copie email factură"
"Invoice Comment Email Sender","Trimitere email comentariu factură"
"Invoice Comment Email Template","șablon email comentariu factură"
"Invoice Comment Email Template for Guest","șablon email comentariu factură pentru Vizitator"
"Send Invoice Comment Email Copy To","Trimiteți copie email comentariu factură la"
"Send Invoice Comments Email Copy Method","Modalitate trimitere copie email comentarii factură"
"Shipment","Livrare"
"Shipment Email Sender","Trimitere email livrare"
"Shipment Email Template","șablon email livrare"
"Shipment Email Template for Guest","șablon email livrare pentru Vizitator"
"Send Shipment Email Copy To","Trimitere copie email de livrare la"
"Send Shipment Email Copy Method","Modalitate trimitere copie email delivrare"
"Shipment Comments","Comentarii livrare"
"Shipment Comment Email Sender","Trimitere email comentariu livrare"
"Shipment Comment Email Template","șablon email comentariu livrare"
"Shipment Comment Email Template for Guest","șablon email comentariu livrare pentru Vizitator"
"Send Shipment Comment Email Copy To","Trimitere copie email comentariu livrare la"
"Send Shipment Comments Email Copy Method","Modalitate trimitere copie email comentarii livrare"
"Credit Memo Email Sender","Trimitere email notă de credit"
"Credit Memo Email Template","șablon email notă de credit"
"Credit Memo Email Template for Guest","șablon email notă de credit pentru Vizitator"
"Send Credit Memo Email Copy To","Trimitere copie email notă de credit la"
"Send Credit Memo Email Copy Method","Modalitate trimitere copie email notă de credit"
"Credit Memo Comment Email Sender","Trimitere email comentariu notă de credit"
"Credit Memo Comment Email Template","șablon email comentariu notă de plată"
"Credit Memo Comment Email Template for Guest","șablon email comentariu notă de plată pentru Vizitator"
"Send Credit Memo Comment Email Copy To","Trimitere copie email comentariu notă de credit la"
"Send Credit Memo Comments Email Copy Method","Modalitate trimitere copie email comentarii notă de credit"
"PDF Print-outs","Imprimări PDF"
"Display Order ID in Header","Afișați ID-ul comenzii în antet"
"Customer Order Status Notification","Notificare status comandă client"
"Grid Settings","Grid Settings"
"Asynchronous indexing","Indexare asincronă"
"Create New Account Options","Creați opțiuni cont noi"
"Email is required field for Admin order creation","Email is required field for Admin order creation"
"If set YES Email field will be required during Admin order creation for new Customer.","If set YES Email field will be required during Admin order creation for new Customer."
"Orders and Returns Search Form","Formular de căutare Comenzi și Retururi"
"Anchor Custom Title","Titlu personalizat fix"
"Template","șablon"
"Default Template","șablon Implicit"
"Name","Numeric"
"Phone","Telefon"
"ZIP/Post Code","Cod Poștal"
"Signed-up Point","Punct de înscriere"
"Website","Website"
"Bill-to Name","Nume facturare"
"Created","Creat"
"Invoice Date","Dată factură"
"Ship-to Name","Nume livrare"
"Ship Date","Dată livrare"
"Total Quantity","Cantitate Totală"
"Default Status","Status implicit"
"State Code and Title","Cod și titlu status"
"Item Status","Status articol"
"Original Price","Preț original"
"Tax Percent","Procentaj taxă"
"All Store Views","Toate vizualizările de magazin"
"PDF Credit Memos","Note de credit PDF"
"Purchase Point","Punct de achiziție"
"Print Invoices","Printează facturi"
"Print Packing Slips","Imprimare ambalaj"
"Print Credit Memos","Imprimare note de credit"
"Print All","Imprimare toate"
"Print Shipping Labels","Imprimare etichete de livrare"
"Purchase Date","Dată achiziție"
"Grand Total (Base)","Total General (Base)"
"Grand Total (Purchased)","Total General (Achiziționat)"
"Customer Email","Email client"
"Shipping and Handling","Livrare și manipulare"
"PDF Invoices","Facturi PDF"
"PDF Shipments","Livrări PDF"
"PDF Creditmemos","Note de credit PDF"
"Refunds","Restituiri"
